PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Bell, KR; Showers, CJ				Bell, Kevin R.; Showers, Carolin J.			The moral mosaic: A factor structure for predictors of moral behavior	PERSONALITY AND INDIVIDUAL DIFFERENCES																	Bell, Kevin/0000-0002-1909-0558												0191-8869					JAN 1	2021	168								110340	10.1016/j.paid.2020.110340							WOS:000580635900057						
J	Ma, XL; Wang, XC				Ma, Xiaole; Wang, Xingchao			The role of empathy in the mechanism linking parental psychological control to emotional reactivities to COVID-19 pandemic: A pilot study among Chinese emerging adults	PERSONALITY AND INDIVIDUAL DIFFERENCES																	Ma, Xiaole/0000-0002-6809-9014												0191-8869					JAN 1	2021	168								110399	10.1016/j.paid.2020.110399							WOS:000580635900113	32982001					
J	Rothermich, K; Johnson, EK; Griffith, RM; Beingolea, MM				Rothermich, Kathrin; Johnson, Erika Katherine; Griffith, Rachel Morgan; Beingolea, Monica Marie			The influence of personality traits on attitudes towards climate change - An exploratory study	PERSONALITY AND INDIVIDUAL DIFFERENCES																	Rothermich, Kathrin/0000-0002-7586-3842												0191-8869					JAN 1	2021	168								110304	10.1016/j.paid.2020.110304							WOS:000580635900033						
J	Siegel, A; Dekel, R; Svetlitzky, V				Siegel, Alana; Dekel, Rachel; Svetlitzky, Vlad			The Contribution of Empathy to the Adjustment of Military Veterans and Their Female Partners	FAMILY RELATIONS																													0197-6664	1741-3729															10.1111/fare.12523		DEC 2020					WOS:000597701600001						
J	Huo, M; Ng, YT; Birditt, KS; Fingerman, KL				Huo, Meng; Ng, Yee To; Birditt, Kira S.; Fingerman, Karen L.			Empathy and Coping: Older Adults' Interpersonal Tensions and Mood throughout the Day	GERONTOLOGY																													0304-324X	1423-0003															10.1159/000511418		DEC 2020					WOS:000597349800001	33296897					
J	Li, Y; Li, WJ; Zhang, TT; Zhang, JJ; Jin, ZL; Li, L				Li, Yun; Li, Wenjuan; Zhang, Tingting; Zhang, Junjun; Jin, Zhenlan; Li, Ling			Probing the role of the right inferior frontal gyrus during Pain-Related empathy processing: Evidence from fMRI and TMS	HUMAN BRAIN MAPPING																													1065-9471	1097-0193															10.1002/hbm.25310		DEC 2020					WOS:000596119100001	33283946					
J	Rote, WM; Corona, A; Moore, LS; Patrick, RB; Flak, SR				M. Rote, Wendy; Corona, Alexandria; S. Moore, LaSonya; B. Patrick, Renee; R. Flak, Savannah			Adolescent perceptions of inductive discipline as a response to peer aggression: Variation by socialization agent and individual characteristics	SOCIAL DEVELOPMENT																													0961-205X	1467-9507															10.1111/sode.12492		DEC 2020					WOS:000595481700001						
J	Kubota, M; Fujino, J; Tei, S; Takahata, K; Matsuoka, K; Tagai, K; Sano, Y; Yamamoto, Y; Shimada, H; Takado, Y; Seki, C; Itahashi, T; Aoki, YY; Ohta, H; Hashimoto, RI; Zhang, MR; Suhara, T; Nakamura, M; Takahashi, H; Kato, N; Higuchi, M				Kubota, Manabu; Fujino, Junya; Tei, Shisei; Takahata, Keisuke; Matsuoka, Kiwamu; Tagai, Kenji; Sano, Yasunori; Yamamoto, Yasuharu; Shimada, Hitoshi; Takado, Yuhei; Seki, Chie; Itahashi, Takashi; Aoki, Yuta Y.; Ohta, Haruhisa; Hashimoto, Ryu-Ichiro; Zhang, Ming-Rong; Suhara, Tetsuya; Nakamura, Motoaki; Takahashi, Hidehiko; Kato, Nobumasa; Higuchi, Makoto			Binding of Dopamine D-1 Receptor and Noradrenaline Transporter in Individuals with Autism Spectrum Disorder: A PET Study	CEREBRAL CORTEX																													1047-3211	1460-2199				DEC	2020	30	12					6458	6468		10.1093/cercor/bhaa211							WOS:000592992600028	32770189					
J	Normann-Eide, E; Antonsen, BT; Kvarstein, EH; Pedersen, G; Vaskinn, A; Wilberg, T				Normann-Eide, Eivind; Antonsen, Bjornar Torske; Kvarstein, Elfrida Hartveit; Pedersen, Geir; Vaskinn, Anja; Wilberg, Theresa			ARE IMPAIRMENTS IN THEORY OF MIND SPECIFIC TO BORDERLINE PERSONALITY DISORDER?	JOURNAL OF PERSONALITY DISORDERS																													0885-579X	1943-2763				DEC	2020	34	6					827	841		10.1521/pedi_2019_33_417							WOS:000596724500009	30785865					
J	Weidman, AC; Tracy, JL				Weidman, Aaron C.; Tracy, Jessica L.			Picking Up Good Vibrations: Uncovering the Content of Distinct Positive Emotion Subjective Experience	EMOTION																	Weidman, Aaron/0000-0002-9395-4051												1528-3542	1931-1516				DEC	2020	20	8					1311	1331		10.1037/emo0000677							WOS:000592420200001	31535882					
J	Struchiner, N; de Almeida, GDCF; Hannikainen, IR				Struchiner, Noel; de Almeida, Guilherme da F. C. F.; Hannikainen, Ivar R.			Legal decision-making and the abstract/concrete paradox	COGNITION																	Reis, AlessanRSS/0000-0001-8486-7469												0010-0277	1873-7838				DEC	2020	205								104421	10.1016/j.cognition.2020.104421							WOS:000591740400017	32891973					
J	Baettig, L; Baeumelt, A; Ernst, J; Boeker, H; Grimm, S; Richter, A				Baettig, Linda; Baeumelt, Andreas; Ernst, Jutta; Boeker, Heinz; Grimm, Simone; Richter, Andre			The awareness of the scared-context dependent influence of oxytocin on brain function	BRAIN IMAGING AND BEHAVIOR																	Ernst, Jutta/0000-0001-7619-8314												1931-7557	1931-7565				DEC	2020	14	6					2073	2083		10.1007/s11682-019-00143-2							WOS:000587138100001	31317388					
J	Wu, HY; Feng, CL; Lu, XP; Liu, X; Liu, QY				Wu, Haiyan; Feng, Chunliang; Lu, Xiaping; Liu, Xun; Liu, Quanying			Oxytocin effects on the resting-state mentalizing brain network	BRAIN IMAGING AND BEHAVIOR																Liu, Xun/C-2400-2009	Liu, Xun/0000-0003-1366-8926												1931-7557	1931-7565				DEC	2020	14	6					2530	2541		10.1007/s11682-019-00205-5							WOS:000587138100038	31955321					
J	Wang, Y; Shi, HS; Liu, WH; Zheng, H; Wong, KKY; Cheung, EFC; Chan, RCK				Wang, Yi; Shi, Hai-song; Liu, Wen-hua; Zheng, Hong; Wong, Keri Ka-Yee; Cheung, Eric F. C.; Chan, Raymond C. K.			Applying network analysis to investigate the links between dimensional schizotypy and cognitive and affective empathy	JOURNAL OF AFFECTIVE DISORDERS																	Wong, Keri Ka-Yee/0000-0002-2962-8438												0165-0327	1573-2517				DEC 1	2020	277						313	321		10.1016/j.jad.2020.08.030							WOS:000578004300042	32858312					
J	McBrien, A; Wild, M; Bachorowski, JA				McBrien, Ashley; Wild, Marcus; Bachorowski, Jo-Anne			Social-Emotional Expertise (SEE) Scale: Development and Initial Validation	ASSESSMENT																													1073-1911	1552-3489				DEC	2020	27	8					1718	1730		10.1177/1073191118794866							WOS:000574555000003	30132335					
