PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Aw, SSY; Ilies, R; De Pater, IE				Aw, Sherry S. Y.; Ilies, Remus; De Pater, Irene E.			Dispositional Empathy, Emotional Display Authenticity, and Employee Outcomes	JOURNAL OF APPLIED PSYCHOLOGY																De Pater, Irene Elisabeth/H-7231-2013; de Pater, Irene E./ABH-3881-2020; Aw, Sherry/ABC-9237-2020	de Pater, Irene E./0000-0001-9578-9638; Aw, Sherry/0000-0001-9924-3448												0021-9010	1939-1854				SEP	2020	105	9					1036	1046		10.1037/apl0000471							WOS:000571393700006	31815501					
J	Mateiu-Vescan, R; Ionescu, T; Opre, A				Mateiu-Vescan, Roxana; Ionescu, Thea; Opre, Adrian			Reconsidering Volunteering: Individual Change as a Result of Doing Good for Others	VOLUNTAS																													0957-8765	1573-7888															10.1007/s11266-020-00247-0		JUL 2020					WOS:000548461200001						
J	Younis, A; Peng, XB; Nadeem, MA; Kanwal, S; Pitafi, AH; Qiong, G; Duan, YZ				Younis, Amna; Xiaobao Peng; Nadeem, Muhammad Athar; Kanwal, Shamsa; Pitafi, Abdul Hameed; Qiong, Gui; Yuzhen Duan			Impact of positivity and empathy on social entrepreneurial intention: The moderating role of perceived social support	JOURNAL OF PUBLIC AFFAIRS																													1472-3891	1479-1854														e2124	10.1002/pa.2124		JUL 2020					WOS:000548175400001						
J	Xu, Q; Kwan, CMC; Zhou, XY				Xu, Qian; Kwan, Canice M. C.; Zhou, Xinyue			Helping Yourself before Helping Others: How Sense of Control Promotes Charitable Behaviors	JOURNAL OF CONSUMER PSYCHOLOGY																	Xu, Qian/0000-0001-6859-2290; Kwan, Canice M C/0000-0002-7127-6122												1057-7408	1532-7663				JUL	2020	30	3					486	505		10.1002/jcpy.1163		JUN 2020					WOS:000539639500001						
J	Hudson-Flege, MD; Grover, HM; Mece, MH; Ramos, AK; Thompson, MP				Hudson-Flege, Matthew D.; Grover, Holly M.; Mece, Merita H.; Ramos, Athena K.; Thompson, Martie P.			Empathy as a moderator of sexual violence perpetration risk factors among college men	JOURNAL OF AMERICAN COLLEGE HEALTH																													0744-8481	1940-3208				FEB 17	2020	68	2					139	147		10.1080/07448481.2018.1536055							WOS:000515758300007	30570441					
J	Israelashvili, J; Sauter, D; Fischer, A				Israelashvili, Jacob; Sauter, Disa; Fischer, Agneta			Two facets of affective empathy: concern and distress have opposite relationships to emotion recognition	COGNITION & EMOTION																	Israelashvili, Jacob/0000-0003-1289-223X												0269-9931	1464-0600				AUG 17	2020	34	6					1112	1122		10.1080/02699931.2020.1724893		FEB 2020					WOS:000513582100001	32046586					
S	Zaki, J		Fiske, ST		Zaki, Jamil			Integrating Empathy and Interpersonal Emotion Regulation	ANNUAL REVIEW OF PSYCHOLOGY, VOL 71	Annual Review of Psychology																												0066-4308	1545-2085	978-0-8243-0271-9				2020	71						517	540		10.1146/annurev-psych-010419-050830							WOS:000507468100020	31553672					
J	Weiss, JK; Cohen, EL				Weiss, Julia K.; Cohen, Elizabeth L.			Clicking for change: the role of empathy and negative affect on engagement with a charitable social media campaign*	BEHAVIOUR & INFORMATION TECHNOLOGY																	Cohen, Elizabeth/0000-0002-4967-1679; Weiss, Julia/0000-0002-1336-0465												0144-929X	1362-3001				DEC 2	2019	38	12					1185	1193		10.1080/0144929X.2019.1578827							WOS:000495349200001						
J	Mori, A; Cigala, A				Mori, Arianna; Cigala, Ada			'Putting oneself in someone else's shoes during childhood: How to learn it' Training for preschool age children	BRITISH JOURNAL OF EDUCATIONAL PSYCHOLOGY																													0007-0998	2044-8279				DEC	2019	89	4					750	766		10.1111/bjep.12255							WOS:000498348400011	30375639					
J	Reynald, DM; Moir, E				Reynald, Danielle M.; Moir, Emily			Who is watching: exploring individual factors that explain supervision patterns among residential guardians	EUROPEAN JOURNAL ON CRIMINAL POLICY AND RESEARCH																	Reynald, Danielle/0000-0002-4833-147X; Moir, Emily/0000-0001-6943-4788												0928-1371	1572-9869				DEC	2019	25	4					449	468		10.1007/s10610-018-9380-7							WOS:000497510600007						
J	Klimecki, OM				Klimecki, Olga M.			The Role of Empathy and Compassion in Conflict Resolution	EMOTION REVIEW																Klimecki, Olga M/L-5034-2016	Klimecki, Olga M/0000-0003-0757-7761												1754-0739	1754-0747				OCT	2019	11	4					310	325		10.1177/1754073919838609							WOS:000487911000004						
J	Dellaportas, S				Dellaportas, Steven			The role of accounting in mediating empathic care for the "other"	ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL																Dellaportas, Steven/A-4687-2019	Dellaportas, Steven/0000-0003-4499-4345												0951-3574	1758-4205				AUG 23	2019	32	6					1617	1635		10.1108/AAAJ-02-2017-2860							WOS:000487056700001						
J	Riedo, V; Kraiczy, ND; Hack, A				Riedo, Valerie; Kraiczy, Nils Daniel; Hack, Andreas			Applying Person-Environment Fit Theory to Identify Personality Differences between Prospective Social and Commercial Entrepreneurs: An Explorative Study	JOURNAL OF SMALL BUSINESS MANAGEMENT																													0047-2778	1540-627X				JUL	2019	57	3					989	1007		10.1111/jsbm.12377							WOS:000472672900015						
J	Muller, S; Rau, HA				Mueller, Stephan; Rau, Holger A.			Too cold for warm glow? Christmas-season effects in charitable giving	PLOS ONE																	Rau, Holger/0000-0003-3382-6127												1932-6203					MAY 22	2019	14	5							e0215844	10.1371/journal.pone.0215844							WOS:000468607400010	31116743					
J	Lopez-Perez, B; Carrera, P; Oceja, L; Ambrona, T; Stocks, E				Lopez-Perez, Belen; Carrera, Pilar; Oceja, Luis; Ambrona, Tamara; Stocks, Eric			Sympathy and Tenderness as Components of Dispositional Empathic Concern: Predicting Helping and Caring Behaviors	CURRENT PSYCHOLOGY																Oceja, Luis/B-5599-2011; Lopez-Perez, Belen/Z-4895-2019; Ambrona, Tamara Benito/AAB-5037-2019; Levillain, Pilar Carrera/G-3470-2011	Oceja, Luis/0000-0001-5330-3687; Lopez-Perez, Belen/0000-0002-8517-2236; Ambrona, Tamara Benito/0000-0003-1940-7639; Levillain, Pilar Carrera/0000-0002-3940-9028												1046-1310	1936-4733				APR	2019	38	2					458	468		10.1007/s12144-017-9615-7							WOS:000466739800019						
J	Jeong, JY; Parks, J; Hyun, H				Jeong, Ji Youn; Parks, Jungkun; Hyun, Hyowon			The Role of Emotional Service Expectation Toward Perceived Quality and Satisfaction: Moderating Effects of Deep Acting and Surface Acting	FRONTIERS IN PSYCHOLOGY																park, jungkun/ABF-8427-2020; Hyun, Hyowon/ABB-9184-2020													1664-1078					MAR 12	2019	10								321	10.3389/fpsyg.2019.00321							WOS:000460900900001	30914984					
J	Bockler, A				Boeckler, Anne			Why we share our cookies: Prosocial behavior from a psychological perspective	ANTHROPOLOGISCHER ANZEIGER					12th International Meeting of the Society-of-Anthropology (GfA)	SEP 18-22, 2017	Geislingen, GERMANY	Soc Anthropol																					0003-5548						2019	76	3					181	194		10.1127/anthranz/2019/0880							WOS:000489066100002	30801608					
J	Darnell, C; Gulliford, L; Kristjansson, K; Paris, P				Darnell, Catherine; Gulliford, Liz; Kristjansson, Kristjan; Paris, Panos			Phronesis and the Knowledge-Action Gap in Moral Psychology and Moral Education: A New Synthesis?	HUMAN DEVELOPMENT																	Paris, Panos/0000-0002-2549-1075												0018-716X	1423-0054					2019	62	3					101	129		10.1159/000496136							WOS:000473603100001						
J	Bove, LL				Bove, Liliana L.			Empathy for service: benefits, unintended consequences, and future research agenda	JOURNAL OF SERVICES MARKETING																													0887-6045						2019	33	1					31	43		10.1108/JSM-10-2018-0289							WOS:000467622600004						
J	Weisz, E; Zaki, J				Weisz, Erika; Zaki, Jamil			Motivated empathy: a social neuroscience perspective	CURRENT OPINION IN PSYCHOLOGY																	Weisz, Erika/0000-0001-5021-1015												2352-250X	2352-2518				DEC	2018	24				SI		67	71		10.1016/j.copsyc.2018.05.005							WOS:000454166400012	29966924					
J	Qi, HX; Smith, KA; Yeoman, I				Qi, Hongxia; Smith, Karen A.; Yeoman, Ian			Cross-cultural event volunteering: Challenge and intelligence	TOURISM MANAGEMENT																Smith, Karen/G-8961-2016	Smith, Karen/0000-0002-9563-5732												0261-5177	1879-3193				DEC	2018	69						596	604		10.1016/j.tourman.2018.03.019							WOS:000441681400054						
J	Cameron, CD				Cameron, C. Daryl			Motivating empathy: Three methodological recommendations for mapping empathy	SOCIAL AND PERSONALITY PSYCHOLOGY COMPASS																														1751-9004				NOV	2018	12	11							e12418	10.1111/spc3.12418							WOS:000449710100003						
J	van Loon, A; Bailenson, J; Zaki, J; Bostick, J; Willer, R				van Loon, Austin; Bailenson, Jeremy; Zaki, Jamil; Bostick, Joshua; Willer, Robb			Virtual reality perspective-taking increases cognitive empathy for specific others	PLOS ONE																	van Loon, Austin/0000-0002-9565-7392												1932-6203					AUG 30	2018	13	8							e0202442	10.1371/journal.pone.0202442							WOS:000443388900030	30161144					
J	Ngai, SSY; Xie, LL				Ngai, Steven Sek-yum; Xie, Lili			Toward a Validation of the Prosocial Tendencies Measure Among Chinese Adolescents in Hong Kong	CHILD INDICATORS RESEARCH																													1874-897X	1874-8988				AUG	2018	11	4					1281	1299		10.1007/s12187-017-9475-6							WOS:000439762200011						
J	Bacq, S; Alt, E				Bacq, Sophie; Alt, Elisa			Feeling capable and valued: A prosocial perspective on the link between empathy and social entrepreneurial intentions	JOURNAL OF BUSINESS VENTURING																Bacq, Sophie/J-8722-2019	Bacq, Sophie/0000-0002-1336-2727; Alt, Elisa/0000-0002-9128-658X												0883-9026	1873-2003				MAY	2018	33	3					333	350		10.1016/j.jbusvent.2018.01.004							WOS:000430902500006						
J	Rombach, M; Kang, E; Bitsch, V				Rombach, Meike; Kang, Eunkyung; Bitsch, Vera			Good deeds revisited: motivation and boundary spanning in formal volunteering	INTERNATIONAL REVIEW ON PUBLIC AND NONPROFIT MARKETING																													1865-1984	1865-1992				MAR	2018	15	1					105	126		10.1007/s12208-018-0193-7							WOS:000538531400007						
J	Ravindran, N; McElwain, NL; Berry, D; Kramer, L				Ravindran, Niyantri; McElwain, Nancy L.; Berry, Daniel; Kramer, Laurie			Mothers' Dispositional Distress Reactivity as a Predictor of Maternal Support Following Momentary Fluctuations in Children's Aversive Behavior	DEVELOPMENTAL PSYCHOLOGY																													0012-1649	1939-0599				FEB	2018	54	2					209	219		10.1037/dev0000418							WOS:000426040000002	29058936					
J	Israelashvili, J; Karniol, R				Israelashvili, Jacob; Karniol, Rachel			Testing alternative models of dispositional empathy: The Affect-to-Cognition (ACM) versus the Cognition-to-Affect (CAM) model	PERSONALITY AND INDIVIDUAL DIFFERENCES																	Israelashvili, Jacob/0000-0003-1289-223X												0191-8869					JAN 15	2018	121						161	169		10.1016/j.paid.2017.09.036							WOS:000416187000026						
