PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	PAULHUS, DL; REID, DB				PAULHUS, DL; REID, DB			ENHANCEMENT AND DENIAL IN SOCIALLY DESIRABLE RESPONDING	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY																													0022-3514					FEB	1991	60	2					307	317		10.1037/0022-3514.60.2.307							WOS:A1991EY27600012						
J	LEAK, GK				LEAK, GK			AN EXAMINATION OF THE CONSTRUCT-VALIDITY OF THE SOCIAL ANHEDONIA SCALE	JOURNAL OF PERSONALITY ASSESSMENT																													0022-3891					FEB	1991	56	1					84	95		10.1207/s15327752jpa5601_8							WOS:A1991EV77100009	16370904					
J	CLARY, EG; ORENSTEIN, L				CLARY, EG; ORENSTEIN, L			THE AMOUNT AND EFFECTIVENESS OF HELP - THE RELATIONSHIP OF MOTIVES AND ABILITIES TO HELPING-BEHAVIOR	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN																													0146-1672					FEB	1991	17	1					58	64		10.1177/0146167291171009							WOS:A1991EW20200008						
J	RUSBULT, CE; VERETTE, J; WHITNEY, GA; SLOVIK, LF; LIPKUS, I				RUSBULT, CE; VERETTE, J; WHITNEY, GA; SLOVIK, LF; LIPKUS, I			ACCOMMODATION PROCESSES IN CLOSE RELATIONSHIPS - THEORY AND PRELIMINARY EMPIRICAL-EVIDENCE	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY																													0022-3514					JAN	1991	60	1					53	78		10.1037/0022-3514.60.1.53							WOS:A1991ET55700005						
J	WATSON, PJ; MORRIS, RJ				WATSON, PJ; MORRIS, RJ			NARCISSISM, EMPATHY AND SOCIAL DESIRABILITY	PERSONALITY AND INDIVIDUAL DIFFERENCES																													0191-8869						1991	12	6					575	579		10.1016/0191-8869(91)90253-8							WOS:A1991FF52800009						
J	WATSON, PJ; MORRIS, RJ; HOOD, RW; FOLBRECHT, J				WATSON, PJ; MORRIS, RJ; HOOD, RW; FOLBRECHT, J			DEPENDENCY, IRRATIONALITY, AND COMMUNITY	JOURNAL OF PSYCHOLOGY AND THEOLOGY																													0091-6471					WIN	1990	18	4					334	347									WOS:A1990ER69500004						
J	HOGG, JR; HELLER, K				HOGG, JR; HELLER, K			A MEASURE OF RELATIONAL COMPETENCE FOR COMMUNITY-DWELLING ELDERLY	PSYCHOLOGY AND AGING																													0882-7974	1939-1498				DEC	1990	5	4					580	588		10.1037/0882-7974.5.4.580							WOS:A1990EM36400016	2278684					
J	HOUSTON, DA				HOUSTON, DA			EMPATHY AND THE SELF - COGNITIVE AND EMOTIONAL INFLUENCES ON THE EVALUATION OF NEGATIVE AFFECT IN OTHERS	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY																													0022-3514					NOV	1990	59	5					859	868									WOS:A1990EH76200002						
J	TAMBORINI, R; STIFF, J; HEIDEL, C				TAMBORINI, R; STIFF, J; HEIDEL, C			REACTING TO GRAPHIC HORROR - A MODEL OF EMPATHY AND EMOTIONAL BEHAVIOR	COMMUNICATION RESEARCH																													0093-6502					OCT	1990	17	5					616	640		10.1177/009365090017005003							WOS:A1990EB13500003						
J	GALLOP, R; LANCEE, WJ; GARFINKEL, PE				GALLOP, R; LANCEE, WJ; GARFINKEL, PE			THE EMPATHIC PROCESS AND ITS MEDIATORS - A HEURISTIC MODEL	JOURNAL OF NERVOUS AND MENTAL DISEASE																													0022-3018					OCT	1990	178	10					649	654		10.1097/00005053-199010000-00006							WOS:A1990EF92500006	2230750					
J	ICKES, W; STINSON, L; BISSONNETTE, V; GARCIA, S				ICKES, W; STINSON, L; BISSONNETTE, V; GARCIA, S			NATURALISTIC SOCIAL COGNITION - EMPATHIC ACCURACY IN MIXED-SEX DYADS	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY																													0022-3514					OCT	1990	59	4					730	742		10.1037/0022-3514.59.4.730							WOS:A1990ED50400011						
