PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Ames, DR								Strategies for social inference: A similarity contingency model of projection and stereotyping in attribute prevalence estimates								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				87	5			573	585		10.1037/0022-3514.87.5.573				NOV 2004	2004																			0022-3514	1939-1315		WOS:000224717400002	15535772	
J	Ames, DR								Inside the mind reader's tool kit: Projection and stereotyping in mental state inference								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				87	3			340	353		10.1037/0022-3514.87.3.340				SEP 2004	2004																			0022-3514	1939-1315		WOS:000223704400004	15382984	
J	Arndt, J; Greenberg, J; Solomon, S; Pyszczynski, T; Schimel, J					Pyszczynski, Tom/0000-0003-4008-3384			Creativity and terror management: Evidence that creative activity increases guilt and social projection following mortality salience								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				77	1			19	32		10.1037/0022-3514.77.1.19				JUL 1999	1999																			0022-3514	1939-1315		WOS:000081598700002		
J	BODENHAUSEN, GV								STEREOTYPES AS JUDGMENTAL HEURISTICS - EVIDENCE OF CIRCADIAN VARIATIONS IN DISCRIMINATION								PSYCHOLOGICAL SCIENCE				1	5			319	322		10.1111/j.1467-9280.1990.tb00226.x				SEP 1990	1990																			0956-7976			WOS:A1990EG38700013		
J	BYRNE, D								INTERPERSONAL-ATTRACTION AND ATTITUDE SIMILARITY								JOURNAL OF ABNORMAL AND SOCIAL PSYCHOLOGY				62	3			713	&		10.1037/h0044721				1961	1961																						WOS:A19610515600005	13875334	
J	Chen, M; Bargh, JA								Consequences of automatic evaluation: Immediate behavioral predispositions to approach or avoid the stimulus								PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN				25	2			215	224		10.1177/0146167299025002007				FEB 1999	1999																			0146-1672	1552-7433		WOS:000078232600007		
J	Davis, MH; Conklin, L; Smith, A; Luce, C								Effect of perspective taking on the cognitive representation of persons: A merging of self and other								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				70	4			713	726		10.1037/0022-3514.70.4.713				APR 1996	1996																			0022-3514			WOS:A1996UE80100005	8636894	
J	Fein, S; Spencer, SJ								Prejudice as self-image maintenance: Affirming the self through derogating others								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				73	1			31	44		10.1037/0022-3514.73.1.31				JUL 1997	1997																			0022-3514			WOS:A1997XG51500003		
J	GILBERT, DT; HIXON, JG								THE TROUBLE OF THINKING - ACTIVATION AND APPLICATION OF STEREOTYPIC BELIEFS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				60	4			509	517		10.1037/0022-3514.60.4.509				APR 1991	1991																			0022-3514			WOS:A1991FE17100003		
J	Kawada, CLK; Oettingen, G; Gollwitzer, PM; Bargh, JA								The projection of implicit and explicit goals								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				86	4			545	559		10.1037/0022-3514.86.4.545				APR 2004	2004																			0022-3514	1939-1315		WOS:000220317200003	15053705	
J	Krueger, Joachim I.								From social projection to social behaviour								EUROPEAN REVIEW OF SOCIAL PSYCHOLOGY				18				1	35		10.1080/10463280701284645				2007	2007																			1046-3283	1479-277X		WOS:000257169900002		
J	Machunsky, Maya; Toma, Claudia; Yzerbyt, Vincent; Corneille, Olivier					Yzerbyt, Vincent/0000-0003-1185-4733			Social Projection Increases for Positive Targets: Ascertaining the Effect and Exploring Its Antecedents								PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN				40	10			1373	1388		10.1177/0146167214545039				OCT 2014	2014																			0146-1672	1552-7433		WOS:000343035500011	25081995	
J	MARKS, G; MILLER, N; MARUYAMA, G								EFFECT OF TARGETS PHYSICAL ATTRACTIVENESS ON ASSUMPTIONS OF SIMILARITY								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				41	1			198	206		10.1037/0022-3514.41.1.198				1981	1981																			0022-3514	1939-1315		WOS:A1981LZ23600015		
J	Nickerson, RS								How we know - and sometimes misjudge - What others know: Imputing one's own knowledge to others								PSYCHOLOGICAL BULLETIN				125	6			737	759		10.1037/0033-2909.125.6.737				NOV 1999	1999																			0033-2909	1939-1455		WOS:000083849500006		
J	Niedenthal, PM; Barsalou, LW; Winkielman, P; Krauth-Gruber, S; Ric, F				Winkielman, Piotr/AAT-6275-2020	Winkielman, Piotr/0000-0003-2330-1802			Embodiment in attitudes, social perception, and emotion								PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW				9	3			184	211		10.1207/s15327957pspr0903_1				2005	2005																			1088-8683	1532-7957		WOS:000230780500001	16083360	
J	Robbins, JM; Krueger, JI								Social projection to ingroups and outgroups: A review and meta-analysis								PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW				9	1			32	47		10.1207/s15327957pspr0901_3				2005	2005																			1088-8683	1532-7957		WOS:000227248800003	15745863	
J	SHERMAN, SJ; CHASSIN, L; PRESSON, CC; AGOSTINELLI, G								THE ROLE OF THE EVALUATION AND SIMILARITY PRINCIPLES IN THE FALSE CONSENSUS EFFECT								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				47	6			1244	1262		10.1037/0022-3514.47.6.1244				1984	1984																			0022-3514	1939-1315		WOS:A1984ABC9400006		
J	Stel, Marielle; Blascovich, Jim; Mccall, Cade; Mastop, Jessanne; Van Baaren, Rick B.; Vonk, Roos				van Baaren, Rick/E-8036-2012; Stel, Marielle/I-3379-2016; Vonk, Roos/E-7907-2012	Stel, Marielle/0000-0002-8905-4739; Vonk, Roos/0000-0003-2378-7582; McCall, Cade/0000-0003-0746-8899			Mimicking disliked others: Effects of a priori liking on the mimicry-liking link								EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY				40	5			867	880		10.1002/ejsp.655				AUG 2010	2010																			0046-2772	1099-0992		WOS:000279742000015		
J	Toma, Claudia; Yzerbyt, Vincent; Corneille, Olivier					Yzerbyt, Vincent/0000-0003-1185-4733			Anticipated cooperation vs. competition moderates interpersonal projection								JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY				46	2			375	381		10.1016/j.jesp.2009.11.005				MAR 2010	2010																			0022-1031	1096-0465		WOS:000275770300017		
J	Toma, Claudia; Corneille, Olivier; Yzerbyt, Vincent					Yzerbyt, Vincent/0000-0003-1185-4733			Holding a Mirror Up to the Self: Egocentric Similarity Beliefs Underlie Social Projection in Cooperation								PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN				38	10			1259	1271		10.1177/0146167212449022				OCT 2012	2012																			0146-1672	1552-7433		WOS:000308881600003	22700241	
J	Toma, Claudia; Woltin, Karl-Andrew								Motivational and Contextual Considerations Concerning the Social Projection Hypothesis								PSYCHOLOGICAL INQUIRY				23	1			69	74		10.1080/1047840X.2012.659651				2012	2012																			1047-840X			WOS:000304680000008		
J	Weller, Joshua; Watson, David				Watson, David/D-8129-2011; Weller, Joshua/H-9185-2016	Weller, Joshua/0000-0002-1640-9412			Friend or Foe? Differential Use of the Self-Based Heuristic as a Function of Relationship Satisfaction								JOURNAL OF PERSONALITY				77	3			731	760		10.1111/j.1467-6494.2009.00563.x				JUN 2009	2009																			0022-3506			WOS:000265429300005	20078736	
