PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Quartuch, MR; Siemer, WF; Decker, DJ; Stedman, RC				Quartuch, Michael R.; Siemer, William F.; Decker, Daniel J.; Stedman, Richard C.			Learning from hunter education volunteers' experiences	HUMAN DIMENSIONS OF WILDLIFE																													1087-1209	1533-158X				JAN 2	2021	26	1					31	47		10.1080/10871209.2020.1788193		JUL 2020					WOS:000547451200001						
J	Padilla-Walker, LM; Millett, MA; Merrunott-Elison, MK				Padilla-Walker, Laura M.; Millett, Mallory A.; Merrunott-Elison, Madison K.			Can helping others strengthen teens? Character strengths as mediators between prosocial behavior and adolescents' internalizing symptoms	JOURNAL OF ADOLESCENCE																													0140-1971	1095-9254				FEB	2020	79						70	80		10.1016/j.adolescence.2020.01.001							WOS:000518493200008	31926448					
J	Miranda-Diaz, M; Clark-Shim, H; Keller, TE; Spencer, R				Miranda-Diaz, Miriam; Clark-Shim, Hyuny; Keller, Thomas E.; Spencer, Renee			Determinants of Motivation for Mentoring Among Adults Volunteering to Mentor Youth	JOURNAL OF YOUTH DEVELOPMENT																													2325-4017						2020	15	4			SI		174	189		10.5195/jyd.2020.881							WOS:000574451700011						
J	Vecina, ML; Marzana, D				Vecina, Maria L.; Marzana, Daniela			MOTIVATIONS FOR VOLUNTEERING: DO MOTIVATION QUESTIONNAIRES MEASURE WHAT ACTUALLY DRIVES VOLUNTEERS?	TPM-TESTING PSYCHOMETRICS METHODOLOGY IN APPLIED PSYCHOLOGY																Vecina, Maria L./AAR-5358-2020	Vecina, Maria L./0000-0002-7605-3067												1972-6325					DEC	2019	26	4			SI		573	587		10.4473/TPM26.4.6							WOS:000510663600007						
J	Ng, ZY; Fine, AH				Ng, Zenithson Y.; Fine, Aubrey H.			Considerations for the Retirement of Therapy Animals	ANIMALS																													2076-2615					DEC	2019	9	12							1100	10.3390/ani9121100							WOS:000506636400099	31835308					
J	Chui, CHK; Chan, CH				Chui, Cheryl Hiu-Kwan; Chan, Chee Hon			The role of technology in reconfiguring volunteer management in nonprofits in Hong Kong: Benefits and discontents	NONPROFIT MANAGEMENT & LEADERSHIP																xunhao, Lin/AAB-3368-2019	Chan, Chee Hon/0000-0002-4112-9383; Chui, Cheryl Hiu-kwan/0000-0002-3284-5724												1048-6682	1542-7854				SEP	2019	30	1					89	111		10.1002/nml.21369							WOS:000485003400006						
J	Smith, KE; Norman, GJ; Decety, J				Smith, Karen E.; Norman, Greg J.; Decety, Jean			Medical students' empathy positively predicts charitable donation behavior	JOURNAL OF POSITIVE PSYCHOLOGY																													1743-9760	1743-9779				NOV 1	2020	15	6					734	742		10.1080/17439760.2019.1651889		AUG 2019					WOS:000481225600001	33042206					
J	Aboramadan, M; Hassi, A; Alharazin, HJ; Dahleez, KA; Albashiti, B				Aboramadan, Mohammed; Hassi, Abderrahman; Alharazin, Hatem Jamil; Dahleez, Khalid Abed; Albashiti, Belal			Volunteering drivers and continuation will: the role of engagement	JOURNAL OF MANAGEMENT DEVELOPMENT																Dahleez, Khalid Abed/M-6157-2017	Dahleez, Khalid Abed/0000-0002-1526-8750; Alharazin, Hatem/0000-0001-5833-3535												0262-1711	1758-7492				JUN 10	2019	38	5					405	420		10.1108/JMD-02-2019-0057							WOS:000484269200006						
J	Lopez-Perez, B; Carrera, P; Oceja, L; Ambrona, T; Stocks, E				Lopez-Perez, Belen; Carrera, Pilar; Oceja, Luis; Ambrona, Tamara; Stocks, Eric			Sympathy and Tenderness as Components of Dispositional Empathic Concern: Predicting Helping and Caring Behaviors	CURRENT PSYCHOLOGY																Oceja, Luis/B-5599-2011; Lopez-Perez, Belen/Z-4895-2019; Ambrona, Tamara Benito/AAB-5037-2019; Levillain, Pilar Carrera/G-3470-2011	Oceja, Luis/0000-0001-5330-3687; Lopez-Perez, Belen/0000-0002-8517-2236; Ambrona, Tamara Benito/0000-0003-1940-7639; Levillain, Pilar Carrera/0000-0002-3940-9028												1046-1310	1936-4733				APR	2019	38	2					458	468		10.1007/s12144-017-9615-7							WOS:000466739800019						
J	Harburg, E; Lewis, DR; Easterday, M; Gerber, EM				Harburg, Emily; Lewis, Daniel Rees; Easterday, Matthew; Gerber, Elizabeth M.			CheerOn: Facilitating Online Social Support for Novice Project-Based Learning Teams	ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION																Gerber, Elizabeth/B-7594-2009													1073-0516	1557-7325				DEC	2018	25	6							32	10.1145/3241043							WOS:000457132500003						
J	Meneghini, AM; Mikulincer, M; Shaver, PR				Meneghini, Anna M.; Mikulincer, Mario; Shaver, Phillip R.			The contribution of caregiving orientations to volunteering-related motives, costs, and benefits	PERSONAL RELATIONSHIPS																	MENEGHINI, Anna Maria/0000-0002-0685-4360												1350-4126	1475-6811				DEC	2018	25	4					517	537		10.1111/pere.12258							WOS:000453588800004						
J	Behrens, C; Meyer, T; Pierdzioch, C; Emrich, E				Behrens, Christoph; Meyer, Tim; Pierdzioch, Christian; Emrich, Eike			Football clubs and philanthropy: An empirical analysis of volunteering, match quality, and donations	INTERNATIONAL REVIEW FOR THE SOCIOLOGY OF SPORT																	Behrens, Christoph/0000-0002-5728-4150												1012-6902	1461-7218				AUG	2018	53	5					594	614		10.1177/1012690216672653							WOS:000438578800005						
J	Einolf, C				Einolf, Christopher			Evidence-based volunteer management: a review of the literature	VOLUNTARY SECTOR REVIEW																													2040-8056	2040-8064				JUL	2018	9	2					153	176		10.1332/204080518X15299334470348							WOS:000441313300003						
J	Nesbit, R; Christensen, RK; Brudney, JL				Nesbit, Rebecca; Christensen, Robert K.; Brudney, Jeffrey L.			The Limits and Possibilities of Volunteering: A Framework for Explaining the Scope of Volunteer Involvement in Public and Nonprofit Organizations	PUBLIC ADMINISTRATION REVIEW																Christensen, Robert K./J-3068-2019	Christensen, Robert K./0000-0001-6850-4975												0033-3352	1540-6210				JUL-AUG	2018	78	4					502	513		10.1111/puar.12894							WOS:000436254000002						
J	Behrens, C; Emrich, E; Hammerle, M; Pierdzioch, C				Behrens, Christoph; Emrich, Eike; Haemmerle, Martin; Pierdzioch, Christian			Match quality, crowding out, and crowding in: empirical evidence for German sports clubs	EUROPEAN JOURNAL FOR SPORT AND SOCIETY																	Behrens, Christoph/0000-0002-5728-4150												1613-8171	2380-5919					2018	15	1					78	95		10.1080/16138171.2018.1440948							WOS:000434823200006						
J	Thomas, EF; Rathmann, L; McGarty, C				Thomas, Emma F.; Rathmann, Lisa; McGarty, Craig			From "I" to "We": Different forms of identity, emotion, and belief predict victim support volunteerism among nominal and active supporters	JOURNAL OF APPLIED SOCIAL PSYCHOLOGY																	McGarty, Craig/0000-0001-9798-7291; Thomas, Emma F./0000-0001-8664-9748												0021-9029	1559-1816				APR	2017	47	4					213	223		10.1111/jasp.12428							WOS:000398680100003						
J	Hurst, C; Scherer, L; Allen, J				Hurst, Christine; Scherer, Lisa; Allen, Joseph			Distributive Justice for Volunteers: Extrinsic Outcomes Matter	NONPROFIT MANAGEMENT & LEADERSHIP																Allen, Joseph/AAL-1866-2020													1048-6682	1542-7854				SPR	2017	27	3					411	421		10.1002/nml.21251							WOS:000395647200007						
J	Weenink, E; Bridgman, T				Weenink, Emma; Bridgman, Todd			Taking Subjectivity and Reflexivity Seriously: Implications of Social Constructionism for Researching Volunteer Motivation	VOLUNTAS																Bridgman, Todd/F-4351-2015	Bridgman, Todd/0000-0003-3120-0075												0957-8765	1573-7888				FEB	2017	28	1					90	109		10.1007/s11266-016-9824-y							WOS:000393747800005						
J	Vecina, ML; Chaon, F				Vecina, Maria L.; Chaon, Fernando			DROPOUT PREDICTORS FOR VOLUNTEERS IN NON-PROFIT ORGANIZATIONS: A 7-YEAR SURVIVAL ANALYSIS	REVISTA MEXICANA DE PSICOLOGIA																Vecina, Maria L/F-1931-2016; Vecina, Maria L./AAR-5358-2020	Vecina, Maria L./0000-0002-7605-3067												0185-6073					JAN-JUN	2017	34	1					13	23									WOS:000392260000002						
J	Kupersmidt, JB; Stelter, RL; Rhodes, JE; Stump, KN				Kupersmidt, Janis B.; Stelter, Rebecca L.; Rhodes, Jean E.; Stump, Kathryn N.			Enhancing Mentor Efficacy and Preparedness Through Web-Based Pre-Match Training	JOURNAL OF NONPROFIT EDUCATION AND LEADERSHIP																Stelter, Rebecca/M-5439-2019	Stelter, Rebecca/0000-0002-9661-3789												2374-7838	2157-0604					2017	7	3					197	216		10.18666/JNEL-2017-V7-I3-7945							WOS:000438853800004						
B	Foong, PS; Zhao, SD; Carlson, K; Liu, Z			ACM	Foong, Pin Sym; Zhao, Shengdong; Carlson, Kelsey; Liu, Zhe			VITA: Towards Supporting Volunteer Interactions with Long-Term Care Residents with Dementia	PROCEEDINGS OF THE 2017 ACM SIGCHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS (CHI'17)					ACM SIGCHI Conference on Human Factors in Computing Systems (CHI)	MAY 06-11, 2017	Denver, CO	Assoc Comp Machinery, ACM SIGCHI								Foong, Pin Sym/AAF-5391-2019	Foong, Pin Sym/0000-0002-4437-8326														978-1-4503-4655-9				2017							6195	6207		10.1145/3025453.302577							WOS:000426970506003						
J	Weikamp, JG; Goritz, AS				Weikamp, Julia G.; Goeritz, Anja S.			Organizational citizenship behaviour and job satisfaction: The impact of occupational future time perspective	HUMAN RELATIONS																	Goritz, Anja/0000-0002-4638-0489												0018-7267	1741-282X				NOV	2016	69	11					2091	2115		10.1177/0018726716633512							WOS:000386922800003						
J	Taguchi, A; Murayama, H; Murashima, S				Taguchi, Atsuko; Murayama, Hiroshi; Murashima, Sachiyo			Association between Municipal Health Promotion Volunteers' Health Literacy and Their Level of Outreach Activities in Japan	PLOS ONE																													1932-6203					OCT 13	2016	11	10							e0164612	10.1371/journal.pone.0164612							WOS:000385505800097	27736942					
J	Corbin, JH; Mittelmark, MB; Lie, GT				Corbin, J. Hope; Mittelmark, Maurice B.; Lie, Gro T.			Grassroots volunteers in context: rewarding and adverse experiences of local women working on HIV and AIDS in Kilimanjaro, Tanzania	GLOBAL HEALTH PROMOTION																													1757-9759	1757-9767				SEP	2016	23	3					72	81		10.1177/1757975915569514							WOS:000382671900009	25802302					
J	Hyde, MK; Dunn, J; Wust, N; Bax, C; Chambers, SK				Hyde, Melissa K.; Dunn, Jeff; Wust, Natalie; Bax, Caitlin; Chambers, Suzanne K.			Satisfaction, organizational commitment and future action in charity sport event volunteers	INTERNATIONAL JOURNAL OF NONPROFIT AND VOLUNTARY SECTOR MARKETING																Hyde, Melissa/H-6785-2012; Chambers, Suzanne K/H-5957-2012	Hyde, Melissa/0000-0001-9616-2028; Chambers, Suzanne K/0000-0003-2369-6111; Dunn, Jeff/0000-0002-1180-3381												1465-4520	1479-103X				AUG	2016	21	3					148	167		10.1002/nvsm.1552							WOS:000381622600002						
J	Suffrin, RL; Todd, NR; Sanchez, B				Suffrin, Rachael L.; Todd, Nathan R.; Sanchez, Bernadette			AN ECOLOGICAL PERSPECTIVE OF MENTOR SATISFACTION WITH THEIR YOUTH MENTORING RELATIONSHIPS	JOURNAL OF COMMUNITY PSYCHOLOGY																													0090-4392	1520-6629				JUL	2016	44	5					553	568		10.1002/jcop.21785							WOS:000379947800001						
J	Konrath, S; Ho, MH; Zarins, S				Konrath, Sara; Ho, Meng-Han; Zarins, Sasha			The Strategic Helper: Narcissism and Prosocial Motives and Behaviors	CURRENT PSYCHOLOGY																	Konrath, Sara/0000-0001-9182-0095												1046-1310	1936-4733				JUN	2016	35	2					182	194		10.1007/s12144-016-9417-3							WOS:000384587100003						
J	Omoto, AM; Packard, CD				Omoto, Allen M.; Packard, Cody D.			The power of connections: Psychological sense of community as a predictor of volunteerism	JOURNAL OF SOCIAL PSYCHOLOGY																													0022-4545	1940-1183				MAY 3	2016	156	3			SI		272	290		10.1080/00224545.2015.1105777							WOS:000373705600010	27064179					
J	Sturmer, S; Rohmann, A; van der Noll, J				Stuermer, Stefan; Rohmann, Anette; van der Noll, Jolanda			Mobilizing the global community to combat Ebola: Psychological effects of the Band Aid 30 campaign	JOURNAL OF SOCIAL PSYCHOLOGY																van der Noll, Jolanda/M-5409-2015	van der Noll, Jolanda/0000-0001-7929-466X												0022-4545	1940-1183				MAY 3	2016	156	3			SI		291	304		10.1080/00224545.2015.1108898							WOS:000373705600011	27064180					
J	Okun, M; Infurna, FJ; Hutchinson, I				Okun, Morris; Infurna, Frank J.; Hutchinson, Ianeta			Are Volunteer Satisfaction and Enjoyment Related to Cessation of Volunteering by Older Adults?	JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES																													1079-5014	1758-5368				MAY	2016	71	3					439	444		10.1093/geronb/gbu159							WOS:000379814400007	25416680					
