PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Newman, C; Jackson, J; Macleod, S; Eason, M				Newman, Claire; Jackson, Jane; Macleod, Shona; Eason, Michelle			A Survey of Stress and Burnout in Forensic Mental Health Nursing	JOURNAL OF FORENSIC NURSING																													1556-3693	1939-3938				JUL-SEP	2020	16	3					161	168		10.1097/JFN.0000000000000271							WOS:000569419400008	31977515					
J	Chua, R; Jin, MZ				Chua, Roy; Jin, Mengzi			ACROSS THE GREAT DIVIDES: GENDER DYNAMICS INFLUENCE HOW INTERCULTURAL CONFLICT HELPS OR HURTS CREATIVE COLLABORATION	ACADEMY OF MANAGEMENT JOURNAL																													0001-4273	1948-0989				JUN	2020	63	3					903	934		10.5465/amj.2016.1319							WOS:000585049300009						
J	Khoshbakht, M; Baird, G; Rasheed, EO				Khoshbakht, Maryam; Baird, George; Rasheed, Eziaku O.			The influence of work group size and space sharing on the perceived productivity, overall comfort and health of occupants in commercial and academic buildings	INDOOR AND BUILT ENVIRONMENT																	Khoshbakht, Maryam/0000-0002-8131-4508; Rasheed, Eziaku/0000-0002-1377-7359												1420-326X	1423-0070														1420326X20912312	10.1177/1420326X20912312		MAR 2020					WOS:000523004500001						
J	Tafvelin, S; Keisu, BI; Kvist, E				Tafvelin, Susanne; Keisu, Britt-Inger; Kvist, Elin			The Prevalence and Consequences of Intragroup Conflicts for Employee Well-Being in Women-Dominated Work	HUMAN SERVICE ORGANIZATIONS MANAGEMENT LEADERSHIP & GOVERNANCE																	Keisu, Britt-Inger/0000-0002-9627-4625												2330-3131	2330-314X				JAN 1	2020	44	1					47	62		10.1080/23303131.2019.1661321		SEP 2019					WOS:000486854200001						
J	Chuang, SF				Chuang, Szufang			Exploring women-only training program for gender equality and women's continuous professional development in the workplace	HIGHER EDUCATION SKILLS AND WORK-BASED LEARNING																													2042-3896	2042-390X				AUG 12	2019	9	3					359	373		10.1108/HESWBL-01-2018-0001							WOS:000476740700009						
J	Pucheta-Martinez, MC; Gallego-Alvarez, I				Consuelo Pucheta-Martinez, Maria; Gallego-Alvarez, Isabel			An international approach of the relationship between board attributes and the disclosure of corporate social responsibility issues	CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT																	Gallego-Alvarez, Isabel/0000-0001-5122-6104												1535-3958	1535-3966				MAY-JUN	2019	26	3					612	627		10.1002/csr.1707							WOS:000467369500008						
B	Babiak, J; Bajcar, B		Soliman, KS		Babiak, Jolanta; Bajcar, Beata			Gender Differences in Leadership Styles: Who Leads More Destructively?	VISION 2025: EDUCATION EXCELLENCE AND MANAGEMENT OF INNOVATIONS THROUGH SUSTAINABLE ECONOMIC COMPETITIVE ADVANTAGE					34th International-Business-Information-Management-Association (IBIMA) Conference	NOV 13-14, 2019	Madrid, SPAIN	Int Business Informat Management Assoc																							978-0-9998551-3-3				2019							8801	8813									WOS:000561117202041						
J	Altuncan, IU; Tanyer, AM				Altuncan, Izel Unsal; Tanyer, Ali Murat			Context-Dependent Construction Conflict Management Performance Analysis Based on Competency Theory	JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT																Tanyer, Ali Murat/J-5940-2018	Unsal Altuncan, Izel/0000-0002-2261-2740												0733-9364	1943-7862				DEC	2018	144	12							04018112	10.1061/(ASCE)CO.1943-7862.0001581							WOS:000447252900011						
J	Pucheta-Martinez, MC; Bel-Oms, I; Olcina-Sempere, G				Consuelo Pucheta-Martinez, Maria; Bel-Oms, Inmaculada; Olcina-Sempere, Gustau			The association between board gender diversity and financial reporting quality, corporate performance and corporate social responsibility disclosure: A literature review	ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION																BEL-OMS, IMMACULADA/AAN-1614-2020; Bel-Oms, Inmaculada/J-8232-2017													1012-8255	2056-5127					2018	31	1			SI		177	194		10.1108/ARLA-04-2017-0110							WOS:000433249900009						
J	Breugst, N; Shepherd, DA				Breugst, Nicola; Shepherd, Dean A.			If You Fight With Me, I'll Get Mad! A Social Model of Entrepreneurial Affect	ENTREPRENEURSHIP THEORY AND PRACTICE																													1042-2587	1540-6520				MAY	2017	41	3					379	418		10.1111/etap.12211							WOS:000404274900004						
J	Stroebe, K; Nijstad, BA; Hemelrijk, CK				Stroebe, Katherine; Nijstad, Bernard A.; Hemelrijk, Charlotte K.			Female Dominance in Human Groups: Effects of Sex Ratio and Conflict Level	SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE																Nijstad, Bernard/AAY-7249-2020; Hemelrijk, Charlotte/E-4828-2013	Hemelrijk, Charlotte/0000-0001-6160-077X												1948-5506	1948-5514				MAR	2017	8	2					209	218		10.1177/1948550616664956							WOS:000395349300011						
J	Alonso-Almeida, MD; Perramon, J; Bagur, L				del Mar Alonso-Almeida, Maria; Perramon, Jordi; Bagur, Llorenc			Women managers and corporate social responsibility (CSR) in Spain: Perceptions and drivers	WOMENS STUDIES INTERNATIONAL FORUM																alonso, mar/A-4954-2015	Perramon, Jordi/0000-0001-5002-2505; Bagur-Femenias, Llorenc/0000-0003-1973-228X												0277-5395					MAY-JUN	2015	50						47	56		10.1016/j.wsif.2015.02.007							WOS:000355883800006						
J	Alonso-Almeida, MD; Bremser, K				del Mar Alonso-Almeida, Maria; Bremser, Kerstin			Does gender specific decision making exist?	EUROMED JOURNAL OF BUSINESS																BREMSER, KERSTIN/I-4725-2019; alonso, mar/A-4954-2015	BREMSER, KERSTIN/0000-0002-8263-7763; 												1450-2194	1758-888X					2015	10	1					47	65		10.1108/EMJB-02-2014-0008							WOS:000397106900003						
J	Bear, JB; Weingart, LR; Todorova, G				Bear, Julia B.; Weingart, Laurie R.; Todorova, Gergana			Gender and the Emotional Experience of Relationship Conflict: The Differential Effectiveness of Avoidant Conflict Management	NEGOTIATION AND CONFLICT MANAGEMENT RESEARCH																	Weingart, Laurie/0000-0002-2542-7727												1750-4708	1750-4716				NOV	2014	7	4					213	231		10.1111/ncmr.12039							WOS:000344369700001						
J	Todorova, G; Bear, JB; Weingart, LR				Todorova, Gergana; Bear, Julia B.; Weingart, Laurie R.			Can Conflict Be Energizing? A Study of Task Conflict, Positive Emotions, and Job Satisfaction	JOURNAL OF APPLIED PSYCHOLOGY																	Weingart, Laurie/0000-0002-2542-7727												0021-9010	1939-1854				MAY	2014	99	3					451	467		10.1037/a0035134							WOS:000336746200008	24295533					
S	Gunnarsdottir, HM		Ashkanasy, NM; Zerbe, WJ; Hartel, CEJ		Gunnarsdottir, Hulda Mjoll			GENDER AND PERSON/ROLE CONFLICT IN MANAGEMENT: A STUDY OF GENDER, MANAGEMENT POSITION, AND EMOTIONAL DISSONANCE AMONG MANAGERS IN A SCANDINAVIAN SETTING	EMOTIONS AND THE ORGANIZATIONAL FABRIC	Research on Emotion in Organizations																Gunnarsdottir, Hulda Mjoll/0000-0001-8633-9096												1746-9791		978-1-78350-934-8; 978-1-78350-939-3				2014	10						271	303		10.1108/S1746-979120140000010019							WOS:000402718800011						
J	Foley, V; Myrick, F; Yonge, O				Foley, Vicki; Myrick, Florence; Yonge, Olive			Intergenerational conflict in nursing preceptorship	NURSE EDUCATION TODAY																													0260-6917	1532-2793				SEP	2013	33	9					1003	1007		10.1016/j.nedt.2012.07.019							WOS:000327685400014	22922028					
B	Almeida, A; del Mar, M; Bremser, K		Vrontis, D; Weber, Y; Tsoukatos, E		Almeida, Alonso; del Mar, Maria; Bremser, Kerstin			DO FEMALE MANAGEMENT DECISIONS IN CRISIS TIMES DIFFER FROM MALE DECISIONS? AN EXPLORATORY STUDY	CONFRONTING CONTEMPORARY BUSINESS CHALLENGES THROUGH MANAGEMENT INNOVATION					6th Annual EuroMed Conference of the EuroMed-Academy-of-Business	SEP 23-24, 2013	Cascais, PORTUGAL	EuroMed Acad Business								alonso, mar/A-4954-2015; BREMSER, KERSTIN/I-4725-2019	BREMSER, KERSTIN/0000-0002-8263-7763														978-9963-711-16-1				2013							53	64									WOS:000338727100003						
