PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Siegel, A; Dekel, R; Svetlitzky, V				Siegel, Alana; Dekel, Rachel; Svetlitzky, Vlad			The Contribution of Empathy to the Adjustment of Military Veterans and Their Female Partners	FAMILY RELATIONS																													0197-6664	1741-3729															10.1111/fare.12523		DEC 2020					WOS:000597701600001						
J	Vila, MM; Fune, CO; Kanter, JW				Marin Vila, Maria; Ortiz Fune, Carmen; Kanter, Jonathan W.			Modelo conductual-contextual de las relaciones intimas: aplicabilidad en psicoterapia	INTERNATIONAL JOURNAL OF PSYCHOLOGY AND PSYCHOLOGICAL THERAPY																													1577-7057	1989-2780				OCT	2020	20	3					373	394									WOS:000578931200010						
J	Eckland, NS; Huang, AB; Berenbaum, H				Eckland, Nathaniel S.; Huang, Alice B.; Berenbaum, Howard			Empathic Accuracy: Associations With Prosocial Behavior and Self-Insecurity	EMOTION																	Eckland, Nathaniel/0000-0003-2425-5211												1528-3542	1931-1516				OCT	2020	20	7					1306	1310		10.1037/emo0000622							WOS:000575825900016	31192670					
J	Toribio-Florez, D; van Harreveld, F; Schneider, IK				Toribio-Florez, Daniel; van Harreveld, Frenk; Schneider, Iris K.			Ambivalence and Interpersonal Liking: The Expression of Ambivalence as Social Validation of Attitudinal Conflict	FRONTIERS IN PSYCHOLOGY																Toribio-Florez, Daniel/ABC-7110-2020	Toribio-Florez, Daniel/0000-0001-9706-709X												1664-1078					SEP 29	2020	11								525301	10.3389/fpsyg.2020.525301							WOS:000576862300001	33132947					
J	Huo, M; Fuentecilla, JL; Birditt, KS; Fingerman, KL				Huo, Meng; Fuentecilla, Jamie L.; Birditt, Kira S.; Fingerman, Karen L.			Does Empathy Have a Cost? Older Adults and Social Partners Experiencing Problems	GERONTOLOGIST																													0016-9013	1758-5341				JUN	2020	60	4					617	627		10.1093/geront/gnz065							WOS:000537457500012	31152585					
J	Werner, S; Hochman, Y; Rosenne, H; Kurtz, S				Werner, Shirli; Hochman, Yael; Rosenne, Hadas; Kurtz, Shifra			Cooperation or Tension? Dyadic Coping in Cystic FibrosisPalabras clave(sic)(sic)(sic)	FAMILY PROCESS																													0014-7370	1545-5300															10.1111/famp.12538		APR 2020					WOS:000525787600001	32293718					
J	Gregory, AJP; Anderson, JF; Gable, SL				Gregory, Amy J. P.; Anderson, Jason F.; Gable, Shelly L.			You Don't Know How It Feels: Accuracy in Emotion Perception Predicts Responsiveness of Support	EMOTION																	Gregory, Amy/0000-0003-0430-2973; Anderson, Jason/0000-0001-8972-9196												1528-3542	1931-1516				APR	2020	20	3					343	352		10.1037/emo0000608							WOS:000521588900002	31169372					
J	Auyeung, K; Alden, LE				Auyeung, Karen; Alden, Lynn E.			Accurate Empathy, Social Rejection, and Social Anxiety Disorder	CLINICAL PSYCHOLOGICAL SCIENCE																													2167-7026	2167-7034														2167702619885410	10.1177/2167702619885410		MAR 2020					WOS:000524204500001						
J	Auyeung, K; Alden, LE				Auyeung, Karen; Alden, Lynn E.			Accurate Empathy, Social Rejection, and Social Anxiety Disorder	CLINICAL PSYCHOLOGICAL SCIENCE																													2167-7026	2167-7034				MAR	2020	8	2					266	279		10.1177/2167702619885410							WOS:000522928500005						
J	Hinnekens, C; Sillars, A; Verhofstadt, LL; Ickes, W				Hinnekens, Celine; Sillars, Alan; Verhofstadt, Lesley L.; Ickes, William			Empathic accuracy and cognitions during conflict: An in-depth analysis of understanding scores	PERSONAL RELATIONSHIPS																													1350-4126	1475-6811				MAR	2020	27	1					102	131		10.1111/pere.12311							WOS:000518878700006						
J	Nguyen, TTT; Neff, LA; Williamson, HC				Nguyen, Thao T. T.; Neff, Lisa A.; Williamson, Hannah C.			The role of stress mindset in support provision	PERSONAL RELATIONSHIPS																													1350-4126	1475-6811				MAR	2020	27	1					138	155		10.1111/pere.12302							WOS:000518878700008						
J	Benson, AJ; Cavallo, J; Daljeet, KN				Benson, Alex J.; Cavallo, Justin; Daljeet, Kabir N.			Tailoring emotions in romantic relationships: A person-centered approach	JOURNAL OF RESEARCH IN PERSONALITY																	Benson, Alex/0000-0002-5978-065X; Daljeet, Kabir/0000-0002-2435-2217												0092-6566	1095-7251				FEB	2020	84								103897	10.1016/j.jrp.2019.103897							WOS:000515201300004						
J	Drewelies, J; Schade, H; Hulur, G; Hoppmann, CA; Ram, N; Gerstorf, D				Drewelies, Johanna; Schade, Hannah; Hulur, Gizem; Hoppmann, Christiane A.; Ram, Nilam; Gerstorf, Denis			The More We Are in Control, the Merrier? Partner Perceived Control and Negative Affect in the Daily Lives of Older Couples	JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES																Hulur, Gizem/Y-2755-2019	Hulur, Gizem/0000-0002-9225-3878												1079-5014	1758-5368				FEB	2020	75	2					338	348		10.1093/geronb/gby009							WOS:000515126700012	29415244					
J	Haut, KM; Dodell-Feder, D; Guty, E; Nahum, M; Hooker, CI				Haut, Kristen M.; Dodell-Feder, David; Guty, Erin; Nahum, Mor; Hooker, Christine, I			Change in Objective Measure of Empathic Accuracy Following Social Cognitive Training	FRONTIERS IN PSYCHIATRY																	Haut, Kristen/0000-0002-1747-4099; Nahum, Mor/0000-0002-2861-6486												1664-0640					DEC 10	2019	10								894	10.3389/fpsyt.2019.00894							WOS:000504234900001	31920748					
J	Levavi-Francy, N; Lazarus, G; Rafaeli, E				Levavi-Francy, Noa; Lazarus, Gal; Rafaeli, Eshkol			Relational events are more consequential when accompanied by emotional similarity	COGNITION & EMOTION																	Rafaeli, Eshkol/0000-0002-1226-9678												0269-9931	1464-0600				JUL 3	2020	34	5					859	874		10.1080/02699931.2019.1691979		NOV 2019					WOS:000496599800001	31726944					
J	Huo, M; Fuentecilla, JL; Birditt, KS; Fingerman, KL				Huo, Meng; Fuentecilla, Jamie L.; Birditt, Kira S.; Fingerman, Karen L.			Older adults' empathy and daily support exchanges	JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS																													0265-4075	1460-3608				NOV	2019	36	11-12					3814	3834		10.1177/0265407519837372							WOS:000484678700025	31814654					
J	Francis, Z; Sieber, V; Job, V				Francis, Zoe; Sieber, Vanda; Job, Veronika			You seem tired, but so am I: Willpower theories and intention to provide support in romantic relationships	JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS																Sieber, Vanda/AAE-7517-2020	Sieber, Vanda/0000-0002-3148-0954												0265-4075	1460-3608				MAR	2020	37	3					738	757	0265407519877238	10.1177/0265407519877238		SEP 2019					WOS:000488728000001						
J	Hinnekens, C; Stas, L; Gistelinck, F; Verhofstadt, LL				Hinnekens, Celine; Stas, Lara; Gistelinck, Fien; Verhofstadt, Lesley L.			"I think you understand me." Studying the associations between actual, assumed, and perceived understanding within couples	EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY																													0046-2772	1099-0992				FEB	2020	50	1					46	60		10.1002/ejsp.2614		SEP 2019					WOS:000485101000001						
J	Suso-Ribera, C; Martinez-Borba, V; Viciano, A; Cano-Garcia, FJ; Garcia-Palacios, A				Suso-Ribera, Carlos; Martinez-Borba, Veronica; Viciano, Alejandro; Javier Cano-Garcia, Francisco; Garcia-Palacios, Azucena			Empathic Accuracy in Chronic Pain: Exploring Patient and Informal Caregiver Differences and Their Personality Correlates	MEDICINA-LITHUANIA																Suso-Ribera, Carlos/D-3770-2018; Cano-Garcia, Francisco Javier/A-5005-2008; Martinez-Borba, Veronica/AAN-1046-2020	Suso-Ribera, Carlos/0000-0002-2655-1017; Cano-Garcia, Francisco Javier/0000-0002-7581-2455; Martinez-Borba, Veronica/0000-0003-2082-8115												1010-660X	1648-9144				SEP	2019	55	9							539	10.3390/medicina55090539							WOS:000490752800032	31461997					
J	Lee, JJ; Hardin, AE; Parmar, B; Gino, F				Lee, Julia J.; Hardin, Ashley E.; Parmar, Bidhan; Gino, Francesca			The Interpersonal Costs of Dishonesty: How Dishonest Behavior Reduces Individuals' Ability to Read Others' Emotions	JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL					30th Annual Conference of the International-Association-for-Conflict-Management (IACM)	2017	Berlin, GERMANY	Int Assoc Conflict Management								Hardin, Ashley/AAA-9463-2019; Cunningham, Julia J. Lee/AAK-6843-2020	Hardin, Ashley/0000-0001-6466-3952; Cunningham, Julia J. Lee/0000-0002-6650-7088												0096-3445	1939-2222				SEP	2019	148	9					1557	1574		10.1037/xge0000639							WOS:000483067500008	31305092					
J	Vorauer, JD; Petsnik, C				Vorauer, Jacquie D.; Petsnik, Corey			What really helps? Divergent implications of talking to someone with an empathic mindset versus similar experience for shame and self-evaluation in the wake of an embarrassing event	BRITISH JOURNAL OF SOCIAL PSYCHOLOGY																													0144-6665	2044-8309				JUL	2020	59	3			SI		773	789		10.1111/bjso.12338		AUG 2019					WOS:000480898400001	31402472					
J	Adongo, CA; Taale, F; Adam, I				Adongo, Charles A.; Taale, Francis; Adam, Issahaku			Tourists' values and empathic attitude toward sustainable development in tourism	ECOLOGICAL ECONOMICS																Taale, Francis/ABA-8155-2020; Adam, Issahaku/M-6326-2016	Taale, Francis/0000-0001-5689-3037; Adam, Issahaku/0000-0002-4769-9504												0921-8009	1873-6106				AUG	2018	150						251	263		10.1016/j.ecolecon.2018.04.013							WOS:000444364000022						
J	Hinnekens, C; Loeys, T; De Schryver, M; Verhofstadt, LL				Hinnekens, C.; Loeys, T.; De Schryver, M.; Verhofstadt, L. L.			The manageability of empathic (in)accuracy during couples' conflict: Relationship-protection or self-protection?	MOTIVATION AND EMOTION																	Hinnekens, Celine/0000-0001-8728-3258												0146-7239	1573-6644				JUN	2018	42	3					403	418		10.1007/s11031-018-9689-z							WOS:000430848700008						
J	Leuchtmann, L; Zemp, M; Milek, A; Nussbeck, FW; Brandstatter, V; Bodenmann, G				Leuchtmann, Lorena; Zemp, Martina; Milek, Anne; Nussbeck, Fridtjof W.; Brandstaetter, Veronika; Bodenmann, Guy			Role of clarity of other's feelings for dyadic coping	PERSONAL RELATIONSHIPS																Milek, Anne/K-3511-2019	Milek, Anne/0000-0001-6179-4869; Zemp, Martina/0000-0003-0065-5966												1350-4126	1475-6811				MAR	2018	25	1					38	49		10.1111/pere.12226							WOS:000428339700003						
J	Lazarus, G; Bar-Kalifa, E; Rafaeli, E				Lazarus, Gal; Bar-Kalifa, Eran; Rafaeli, Eshkol			Accurate Where It Counts: Empathic Accuracy on Conflict and No-Conflict Days	EMOTION																	Bar-Kalifa, Eran/0000-0003-3579-3015; Rafaeli, Eshkol/0000-0002-1226-9678												1528-3542	1931-1516				MAR	2018	18	2					212	228		10.1037/emo0000325							WOS:000428839700006	28481575					
J	Dekel, R; Siegel, A; Fridkin, S; Svetlitzky, V				Dekel, Rachel; Siegel, Alana; Fridkin, Shimon; Svetlitzky, Vlad			The Double-Edged Sword: The Role of Empathy in Military Veterans' Partners Distress	PSYCHOLOGICAL TRAUMA-THEORY RESEARCH PRACTICE AND POLICY																													1942-9681	1942-969X				MAR	2018	10	2					216	224		10.1037/tra0000265							WOS:000427747400011	28368154					
J	Sened, H; Lavidor, M; Lazarus, G; Bar-Kalifa, E; Rafaeli, E; Ickes, W				Sened, Haran; Lavidor, Michal; Lazarus, Gal; Bar-Kalifa, Eran; Rafaeli, Eshkol; Ickes, William			Empathic Accuracy and Relationship Satisfaction: A Meta-Analytic Review	JOURNAL OF FAMILY PSYCHOLOGY																Sened, Haran/AAE-3017-2020	Sened, Haran/0000-0003-0467-1154; Rafaeli, Eshkol/0000-0002-1226-9678; Bar-Kalifa, Eran/0000-0003-3579-3015												0893-3200	1939-1293				SEP	2017	31	6					742	752		10.1037/fam0000320							WOS:000411582000010	28394141					
J	Flannery, KM; Smith, RL				Flannery, Kaitlin M.; Smith, Rhiannon L.			The effects of age, gender, and gender role ideology on adolescents' social perspective-taking ability and tendency in friendships	JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS																													0265-4075	1460-3608				AUG	2017	34	5					617	635		10.1177/0265407516650942							WOS:000404664800001						
J	Rafaeli, E; Gadassi, R; Howland, M; Boussi, A; Lazarus, G				Rafaeli, Eshkol; Gadassi, Reuma; Howland, Maryhope; Boussi, Ayelet; Lazarus, Gal			Seeing bad does good: Relational benefits of accuracy regarding partners' negative moods	MOTIVATION AND EMOTION																	Rafaeli, Eshkol/0000-0002-1226-9678												0146-7239	1573-6644				JUN	2017	41	3					353	369		10.1007/s11031-017-9614-x							WOS:000402054000006						
B	Davis, MH		Maibom, HL		Davis, Mark H.			EMPATHY IN TWENTIETH-CENTURY PSYCHOLOGY	ROUTLEDGE HANDBOOK OF PHILOSOPHY OF EMPATHY	Routledge Handbooks in Philosophy																														978-1-315-28201-5; 978-1-138-85544-1				2017							110	122			10.4324/9781315282015						WOS:000449485000011						
B	Ta, VP; Ickes, W		Maibom, HL		Ta, Vivian P.; Ickes, William			EMPATHIC ACCURACY	ROUTLEDGE HANDBOOK OF PHILOSOPHY OF EMPATHY	Routledge Handbooks in Philosophy																														978-1-315-28201-5; 978-1-138-85544-1				2017							353	363			10.4324/9781315282015						WOS:000449485000032						
J	Ma-Kellams, C; Lerner, J				Ma-Kellams, Christine; Lerner, Jennifer			Trust Your Gut or Think Carefully? Examining Whether an Intuitive, Versus a Systematic, Mode of Thought Produces Greater Empathic Accuracy	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY																													0022-3514	1939-1315				NOV	2016	111	5					674	685		10.1037/pspi0000063							WOS:000386925600005	27442764					
