PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	van der Weiden, A; Aarts, H; Prikken, M; van Haren, NEM				van der Weiden, Anouk; Aarts, Henk; Prikken, Merel; van Haren, Neeltje E. M.			Individual differences in action co-representation: not personal distress or subclinical psychotic experiences but sex composition modulates joint action performance	EXPERIMENTAL BRAIN RESEARCH																van Haren, Neeltje/AAC-7656-2020; van der Weiden, Anouk/N-9886-2014	van Haren, Neeltje/0000-0002-3090-7653; van der Weiden, Anouk/0000-0003-2383-4203												0014-4819	1432-1106				FEB	2016	234	2					499	510		10.1007/s00221-015-4475-6							WOS:000369012600016	26525711					
J	Van Lissa, CJ; Hawk, ST; Branje, S; Koot, HM; Meeus, WHJ				Van Lissa, Caspar J.; Hawk, Skyler T.; Branje, Susan; Koot, Hans M.; Meeus, Wim H. J.			Common and unique associations of adolescents' affective and cognitive empathy development with conflict behavior towards parents	JOURNAL OF ADOLESCENCE																Meeus, Wim/H-8099-2013; Branje, Susan/A-7813-2010	Branje, Susan/0000-0002-9999-5313; Koot, Hans/0000-0002-9643-2363												0140-1971	1095-9254				FEB	2016	47				SI		60	70		10.1016/j.adolescence.2015.12.005							WOS:000371104000007	26760479					
J	Mencl, J; May, DR				Mencl, Jennifer; May, Douglas R.			An Exploratory Study Among HRM Professionals of Moral Recognition in Off-Shoring Decisions: The Roles of Perceived Magnitude of Consequences, Time Pressure, Cognitive and Affective Empathy, and Prior Knowledge	BUSINESS & SOCIETY																													0007-6503	1552-4205				FEB	2016	55	2					246	270		10.1177/0007650312465150							WOS:000367382100004						
J	Sassenrath, C; Diefenbacher, S; Siegel, A; Keller, J				Sassenrath, Claudia; Diefenbacher, Svenja; Siegel, Andre; Keller, Johannes			A person-oriented approach to hand hygiene behaviour: Emotional empathy fosters hand hygiene practice	PSYCHOLOGY & HEALTH																													0887-0446	1476-8321				FEB 1	2016	31	2					205	227		10.1080/08870446.2015.1088945							WOS:000366725900005	26359676					
J	Jiang, XM; Pell, MD				Jiang, Xiaoming; Pell, Marc D.			Neural responses towards a speaker's feeling of (un)knowing	NEUROPSYCHOLOGIA																Jiang, Xiaoming/H-8324-2019	Jiang, Xiaoming/0000-0002-5171-9774; Pell, Marc D./0000-0002-9947-1552												0028-3932	1873-3514				JAN 29	2016	81						79	93		10.1016/j.neuropsychologia.2015.12.008							WOS:000370459400008	26700458					
J	Casey, S				Casey, Sharon			Dynamic risk and sexual offending: the conundrum of assessment	PSYCHOLOGY CRIME & LAW																	Casey, Sharon/0000-0002-6916-1000												1068-316X	1477-2744				JAN 22	2016	22	1-2			SI		104	123		10.1080/1068316X.2015.1111366							WOS:000370514900008						
J	de Guzman, M; Bird, G; Banissy, MJ; Catmur, C				de Guzman, Marie; Bird, Geoffrey; Banissy, Michael J.; Catmur, Caroline			Self-other control processes in social cognition: from imitation to empathy	PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES																Bird, Geoff/AAA-3652-2020	Bird, Geoffrey/0000-0002-2310-0202; Catmur, Caroline/0000-0001-6996-4295												0962-8436	1471-2970				JAN 19	2016	371	1686							20150079	10.1098/rstb.2015.0079							WOS:000367473600012	26644597					
J	Hein, G; Engelmann, JB; Vollberg, MC; Tobler, PN				Hein, Grit; Engelmann, Jan B.; Vollberg, Marius C.; Tobler, Philippe N.			How learning shapes the empathic brain	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA																Engelmann, Jan B./H-8429-2014; Hein, Grit/AAF-7964-2019	Engelmann, Jan B./0000-0001-6493-8792; Tobler, Philippe/0000-0002-4915-9448												0027-8424					JAN 5	2016	113	1					80	85		10.1073/pnas.1514539112							WOS:000367520400036	26699464					
J	Danforth, AL; Struble, CM; Yazar-Klosinski, B; Grob, CS				Danforth, Alicia L.; Struble, Christopher M.; Yazar-Klosinski, Berra; Grob, Charles S.			MDMA-assisted therapy: A new treatment model for social anxiety in autistic adults	PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY																													0278-5846	1878-4216				JAN 4	2016	64						237	249		10.1016/j.pnpbp.2015.03.011							WOS:000360921600030	25818246					
J	Decety, J; Yoder, KJ				Decety, Jean; Yoder, Keith J.			Empathy and motivation for justice: Cognitive empathy and concern, but not emotional empathy, predict sensitivity to injustice for others	SOCIAL NEUROSCIENCE																	Yoder, Keith/0000-0002-9596-5408												1747-0919	1747-0927				JAN 2	2016	11	1					1	14		10.1080/17470919.2015.1029593							WOS:000367336200001	25768232					
