PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Morse, JL; Dik, BJ; Shimizu, AB; Reed, KA				Morse, Jessica L.; Dik, Bryan J.; Shimizu, Adelyn B.; Reed, Kaitlyn A.			Volunteerism and Burnout: Does Satisfaction of Motives for Volunteering Protect Against Symptoms?	VOLUNTAS																													0957-8765	1573-7888															10.1007/s11266-020-00257-y		AUG 2020					WOS:000555381000002						
J	Lee, S; Cho, J				Lee, Seungjo; Cho, Jaehee			INTERACTIVE EFFECTS OF DISPOSITIONAL EMPATHIC CONCERN AND MESSAGE FRAMING ON INTERNATIONAL RELIEF CAMPAIGNS	SOCIAL BEHAVIOR AND PERSONALITY																													0301-2212	1179-6391				SEP	2017	45	8					1281	1292		10.2224/sbp.5993							WOS:000415612500005						
J	Omoto, AM; Packard, CD				Omoto, Allen M.; Packard, Cody D.			The power of connections: Psychological sense of community as a predictor of volunteerism	JOURNAL OF SOCIAL PSYCHOLOGY																													0022-4545	1940-1183				MAY 3	2016	156	3			SI		272	290		10.1080/00224545.2015.1105777							WOS:000373705600010	27064179					
J	Upshaw, MB; Kaiser, CR; Sommerville, JA				Upshaw, Michaele B.; Kaiser, Cheryl R.; Sommerville, Jessica A.			Parents' empathic perspective taking and altruistic behavior predicts infants' arousal to others' emotions	FRONTIERS IN PSYCHOLOGY																Kliegl, Reinhold/A-1276-2009	Kliegl, Reinhold/0000-0002-0180-8488												1664-1078					APR 2	2015	6									10.3389/fpsyg.2015.00360							WOS:000352204300001	25883577					
J	Shantz, A; Saksida, T; Alfes, K				Shantz, Amanda; Saksida, Tina; Alfes, Kerstin			Dedicating Time to Volunteering: Values, Engagement, and Commitment to Beneficiaries	APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE																	Saksida, Tina/0000-0001-7478-9284; Shantz, Amanda/0000-0002-6469-2574												0269-994X	1464-0597				OCT	2014	63	4					671	697		10.1111/apps.12010							WOS:000342679600005						
J	Barraza, JA				Barraza, Jorge A.			Positive emotional expectations predict volunteer outcomes for new volunteers	MOTIVATION AND EMOTION																													0146-7239					JUN	2011	35	2					211	219		10.1007/s11031-011-9210-4							WOS:000290546500010						
J	Omoto, AM; Snyder, M; Hackett, JD				Omoto, Allen M.; Snyder, Mark; Hackett, Justin D.			Personality and Motivational Antecedents of Activism and Civic Engagement	JOURNAL OF PERSONALITY																													0022-3506	1467-6494				DEC	2010	78	6					1703	1734		10.1111/j.1467-6494.2010.00667.x							WOS:000283729200005	21039529					
J	Snyder, M				Snyder, Mark			In the Footsteps of Kurt Lewin: Practical Theorizing, Action Research, and the Psychology of Social Action	JOURNAL OF SOCIAL ISSUES																													0022-4537	1540-4560					2009	65	1					225	245		10.1111/j.1540-4560.2008.01597.x							WOS:000262646700014						
J	Snyder, M; Omoto, AM				Snyder, Mark; Omoto, Allen M.			Volunteerism: Social Issues Perspectives and Social Policy Implications	SOCIAL ISSUES AND POLICY REVIEW																													1751-2395	1751-2409				DEC	2008	2	1					1	36		10.1111/j.1751-2409.2008.00009.x							WOS:000209351000001						
J	Bond, LA; Holmes, TR; Byrne, C; Babchuck, L; Kirton-Robbins, S				Bond, Lynne A.; Holmes, Tabitha R.; Byrne, Ciara; Babchuck, Lynne; Kirton-Robbins, Sheila			Movers and shakers: How and why women become and remain engaged in community leadership	PSYCHOLOGY OF WOMEN QUARTERLY																													0361-6843					MAR	2008	32	1					48	64		10.1111/j.1471-6402.2007.00406.x							WOS:000253376300005						
