PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Nelson, HJ; Kendall, GE; Shields, L				Nelson, Helen Jean; Kendall, Garth Edward; Shields, Linda			Neurological and Biological Foundations of Children's Social and Emotional Development: An Integrated Literature Review	JOURNAL OF SCHOOL NURSING																Nelson, Helen/J-3025-2019	Nelson, Helen/0000-0002-5614-4957; Shields, Linda/0000-0003-4911-0107												1059-8405	1546-8364				AUG	2014	30	4					240	250		10.1177/1059840513513157							WOS:000340719800002	24257899					
J	Brosnan, M; Hollinworth, M; Antoniadou, K; Lewton, M				Brosnan, Mark; Hollinworth, Melissa; Antoniadou, Konstantina; Lewton, Marcus			Is Empathizing intuitive and Systemizing deliberative?	PERSONALITY AND INDIVIDUAL DIFFERENCES																	Brosnan, Mark/0000-0002-0683-1492												0191-8869					AUG	2014	66						39	43		10.1016/j.paid.2014.03.006							WOS:000337262100009						
J	Kaltner, S; Jansen, P				Kaltner, Sandra; Jansen, Petra			Emotion and affect in mental imagery: do fear and anxiety manipulate mental rotation performance?	FRONTIERS IN PSYCHOLOGY																													1664-1078					JUL 25	2014	5								792	10.3389/fpsyg.2014.00792							WOS:000339427600001	25120508					
J	Gleichgerrcht, E; Decety, J				Gleichgerrcht, Ezequiel; Decety, Jean			The relationship between different facets of empathy, pain perception and compassion fatigue among physicians	FRONTIERS IN BEHAVIORAL NEUROSCIENCE																	Gleichgerrcht, Ezequiel/0000-0002-4212-4146												1662-5153					JUL 11	2014	8								243	10.3389/fnbeh.2014.00243							WOS:000338794300001	25071495					
J	Bolognini, N; Rossetti, A; Fusaro, M; Vallar, G; Miniussi, C				Bolognini, Nadia; Rossetti, Angela; Fusaro, Martina; Vallar, Giuseppe; Miniussi, Carlo			Sharing Social Touch in the Primary Somatosensory Cortex	CURRENT BIOLOGY																Miniussi, Carlo/P-5610-2019; Miniussi, Carlo/E-7602-2010; ROSSETTI, ANGELA/J-6582-2016; BOLOGNINI, NADIA/J-5746-2016; Fusaro, Martina/AAC-7948-2019	Miniussi, Carlo/0000-0002-5436-4745; Miniussi, Carlo/0000-0002-5436-4745; ROSSETTI, ANGELA/0000-0003-4273-083X; BOLOGNINI, NADIA/0000-0002-2921-8658; Fusaro, Martina/0000-0001-9576-3112												0960-9822	1879-0445				JUL 7	2014	24	13					1513	1517		10.1016/j.cub.2014.05.025							WOS:000338799800026	24954046					
J	Ainley, V; Brass, M; Tsakiris, M				Ainley, Vivien; Brass, Marcel; Tsakiris, Manos			Heartfelt imitation: High interoceptive awareness is linked to greater automatic imitation	NEUROPSYCHOLOGIA																Brass, Marcel/J-7082-2012; Tsakiris, Manos/C-1529-2008	Brass, Marcel/0000-0002-3364-4019; Tsakiris, Manos/0000-0001-7753-7576; Ainley, Vivien/0000-0003-0373-0079												0028-3932	1873-3514				JUL	2014	60						21	28		10.1016/j.neuropsychologia.2014.05.010							WOS:000340305200003	24874609					
J	Baskin-Sommers, A; Krusemark, E; Ronningstam, E				Baskin-Sommers, Arielle; Krusemark, Elizabeth; Ronningstam, Elsa			Empathy in Narcissistic Personality Disorder: From Clinical and Empirical Perspectives	PERSONALITY DISORDERS-THEORY RESEARCH AND TREATMENT																	Baskin-Sommers, Arielle/0000-0001-6773-0508												1949-2715	1949-2723				JUL	2014	5	3					323	333		10.1037/per0000061							WOS:000339663900009	24512457					
J	Horton, WS				Horton, William S.			Individual differences in perspective taking and field-independence mediate structural persistence in dialog	ACTA PSYCHOLOGICA																Horton, William S./H-4906-2019													0001-6918	1873-6297				JUL	2014	150						41	48		10.1016/j.actpsy.2014.04.006							WOS:000338811400005	24816270					
J	Olderbak, S; Sassenrath, C; Keller, J; Wilhelm, O				Olderbak, Sally; Sassenrath, Claudia; Keller, Johannes; Wilhelm, Oliver			An emotion-differentiated perspective on empathy with the emotion specific empathy questionnaire	FRONTIERS IN PSYCHOLOGY																Wilhelm, Oliver/K-6455-2012	Wilhelm, Oliver/0000-0001-7980-1166												1664-1078					JUL 1	2014	5								653	10.3389/fpsyg.2014.00653							WOS:000338743200001	25071632					
J	Belmi, P; Neale, M				Belmi, Peter; Neale, Margaret			Mirror, mirror on the wall, who's the fairest of them all? Thinking that one is attractive increases the tendency to support inequality	ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES																													0749-5978	1095-9920				JUL	2014	124	2					133	149		10.1016/j.obhdp.2014.03.002							WOS:000338621300004						
J	Christensen, JF; Flexas, A; Calabrese, M; Gut, NK; Gomila, A				Christensen, Julia F.; Flexas, Albert; Calabrese, Margareta; Gut, Nadine K.; Gomila, Antoni			Moral judgment reloaded: a moral dilemma validation study	FRONTIERS IN PSYCHOLOGY																Gomila, Antoni/I-1342-2012; Flexas, Albert/U-6228-2017	Gomila, Antoni/0000-0001-7325-961X; Flexas, Albert/0000-0002-0104-7113												1664-1078					JUL 1	2014	5								607	10.3389/fpsyg.2014.00607							WOS:000338742400001	25071621					
J	Smith, MJ; Horan, WP; Cobia, DJ; Karpouzian, TM; Fox, JM; Reilly, JL; Breiter, HC				Smith, Matthew J.; Horan, William P.; Cobia, Derin J.; Karpouzian, Tatiana M.; Fox, Jaclyn M.; Reilly, James L.; Breiter, Hans C.			Performance-Based Empathy Mediates the Influence of Working Memory on Social Competence in Schizophrenia	SCHIZOPHRENIA BULLETIN																Horan, William/V-7495-2019; Cobia, Derin/AAE-4407-2019	Cobia, Derin/0000-0003-2339-958X; Smith, Matthew/0000-0002-0079-1477												0586-7614	1745-1701				JUL	2014	40	4					824	834		10.1093/schbul/sbt084							WOS:000338130300015	23770935					
J	Gountas, S; Gountas, J; Soutar, G; Mavondo, F				Gountas, Sandra; Gountas, John; Soutar, Geoffrey; Mavondo, Felix			Delivering good service: personal resources, job satisfaction and nurses' 'customer' (patient) orientation	JOURNAL OF ADVANCED NURSING																Mavondo, Felix Tinoziva/E-7524-2015; Soutar, Geoffrey/C-2453-2013	Mavondo, Felix Tinoziva/0000-0001-9622-1331; Soutar, Geoffrey/0000-0003-1478-788X												0309-2402	1365-2648				JUL	2014	70	7					1553	1563		10.1111/jan.12308							WOS:000337679900011	24237258					
J	Hagenmuller, F; Rossler, W; Wittwer, A; Haker, H				Hagenmuller, Florence; Roessler, Wulf; Wittwer, Amrei; Haker, Helene			Empathic resonance in Asperger syndrome	RESEARCH IN AUTISM SPECTRUM DISORDERS																	Rossler, Wulf/0000-0003-0049-4533												1750-9467	1878-0237				JUL	2014	8	7					851	859		10.1016/j.rasd.2014.04.008							WOS:000337203600011						
