PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	ACITELLI, LK; DOUVAN, E; VEROFF, J								PERCEPTIONS OF CONFLICT IN THE 1ST YEAR OF MARRIAGE - HOW IMPORTANT ARE SIMILARITY AND UNDERSTANDING								JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS				10	1			5	19		10.1177/0265407593101001				FEB 1993	1993						98TH CONVENTION OF THE AMERICAN PSYCHOLOGICAL ASSOC98TH CONVENTION OF THE AMERICAN PSYCHOLOGICAL ASSOC	AUG, 1990AUG, 1990	AMER PSYCHOL ASSOCAMER PSYCHOL ASSOC	BOSTON, MABOSTON, MA										0265-4075			WOS:A1993KJ77700001		
J	Bergstrom, MJ; Nussbaum, JF								Cohort differences in interpersonal conflict: Implications for the older patient younger care provider interaction								HEALTH COMMUNICATION				8	3			233	248		10.1207/s15327027hc0803_4				1996	1996																			1041-0236			WOS:A1996UV85700004		
J	Birditt, KS; Fingerman, KL								Do we get better at picking our battles? Age group differences in descriptions of behavioral reactions to interpersonal tensions								JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES				60	3			P121	P128		10.1093/geronb/60.3.P121				MAY 2005	2005																			1079-5014	1758-5368		WOS:000229087900002	15860781	
J	Birditt, KS; Fingerman, KL; Almeida, DM								Age differences in exposure and reactions to interpersonal tensions: A daily diary study								PSYCHOLOGY AND AGING				20	2			330	340		10.1037/0882-7974.20.2.330				JUN 2005	2005																			0882-7974	1939-1498		WOS:000230555600014	16029096	
J	Blanchard-Fields, F; Stein, R; Watson, TL								Age differences in emotion-regulation strategies in handling everyday problems								JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES				59	6			P261	P269		10.1093/geronb/59.6.P261				NOV 2004	2004																			1079-5014	1758-5368		WOS:000225564500001	15576853	
J	BLANCHARDFIELDS, F; JAHNKE, HC; CAMP, C								AGE-DIFFERENCES IN PROBLEM-SOLVING STYLE - THE ROLE OF EMOTIONAL SALIENCE								PSYCHOLOGY AND AGING				10	2			173	180		10.1037/0882-7974.10.2.173				JUN 1995	1995																			0882-7974			WOS:A1995RD03100003	7662177	
J	CANARY, DJ; CUNNINGHAM, EM; CODY, MJ								GOAL TYPES, GENDER, AND LOCUS OF CONTROL IN MANAGING INTERPERSONAL CONFLICT								COMMUNICATION RESEARCH				15	4			426	446		10.1177/009365088015004005				AUG 1988	1988																			0093-6502			WOS:A1988Q357700005		
J	Carstensen, LL; Isaacowitz, DM; Charles, ST								Taking time seriously - A theory of socioemotional selectivity								AMERICAN PSYCHOLOGIST				54	3			165	181		10.1037/0003-066X.54.3.165				MAR 1999	1999																			0003-066X	1935-990X		WOS:000079364700001	10199217	
J	CARSTENSEN, LL								MOTIVATION FOR SOCIAL CONTACT ACROSS THE LIFE-SPAN - A THEORY OF SOCIOEMOTIONAL SELECTIVITY								NEBRASKA SYMPOSIUM ON MOTIVATION				40				209	254						1993	1993																			0146-7875			WOS:A1993MD71700005		
J	Carstensen, LL; Fredrickson, BL								Influence of HIV status and age on cognitive representations of others								HEALTH PSYCHOLOGY				17	6			494	503		10.1037/0278-6133.17.6.494				NOV 1998	1998																			0278-6133	1930-7810		WOS:000077222200003	9848799	
J	CARSTENSEN, LL; GOTTMAN, JM; LEVENSON, RW								EMOTIONAL BEHAVIOR IN LONG-TERM MARRIAGE								PSYCHOLOGY AND AGING				10	1			140	149		10.1037/0882-7974.10.1.140				MAR 1995	1995																			0882-7974			WOS:A1995QN04500014	7779311	
J	Conway, JM; Huffcutt, AI								Psychometric properties of multisource performance ratings: A meta-analysis of subordinate, supervisor, peer, and self-ratings								HUMAN PERFORMANCE				10	4			331	360		10.1207/s15327043hup1004_2				1997	1997																			0895-9285			WOS:A1997XX97400002		
J	Davis, MH; Capobianco, S; Kraus, LA								Measuring conflict-related behaviors: Reliability and validity evidence regarding the conflict dynamics profile								EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT				64	4			707	731		10.1177/0013164404263878				AUG 2004	2004						16th Annual Meeting of the Society-for-Industrial-and-Organizational-Psychology16th Annual Meeting of the Society-for-Industrial-and-Organizational-Psychology	APR 27-29, 2001APR 27-29, 2001	Soc Ind & Org PsycholSoc Ind & Org Psychol	SAN DIEGO, CASAN DIEGO, CA										0013-1644	1552-3888		WOS:000222818800009		
J	FEIFEL, H; STRACK, S								COPING WITH CONFLICT SITUATIONS - MIDDLE-AGED AND ELDERLY MEN								PSYCHOLOGY AND AGING				4	1			26	33		10.1037/0882-7974.4.1.26				MAR 1989	1989																			0882-7974	1939-1498		WOS:A1989T491000004	2803608	
J	Fingerman, KL								Tight lips?: Aging mothers' and adult daughters' responses to interpersonal tensions in their relationships								PERSONAL RELATIONSHIPS				5	2			121	138		10.1111/j.1475-6811.1998.tb00163.x				JUN 1998	1998																			1350-4126			WOS:000074367000001		
J	FUNDER, DC; KOLAR, DC; BLACKMAN, MC				Funder, David/V-8125-2019				AGREEMENT AMONG JUDGES OF PERSONALITY - INTERPERSONAL-RELATIONS, SIMILARITY, AND ACQUAINTANCESHIP								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				69	4			656	672		10.1037/0022-3514.69.4.656				OCT 1995	1995																			0022-3514			WOS:A1995RY39300007	7473024	
J	FUNDER, DC; COLVIN, CR				Funder, David/V-8125-2019				FRIENDS AND STRANGERS - ACQUAINTANCESHIP, AGREEMENT, AND THE ACCURACY OF PERSONALITY JUDGMENT								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				55	1			149	158		10.1037/0022-3514.55.1.149				JUL 1988	1988																			0022-3514			WOS:A1988P036100014	3418488	
J	Fung, Helene H.; Carstensen, Laura L.								Goals change when life's fragility is primed: Lessons learned from older adults, the september 11 attacks and SARS								SOCIAL COGNITION				24	3			248	278		10.1521/soco.2006.24.3.248				JUN 2006	2006																			0278-016X			WOS:000238087100003		
