PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Beutler, LE								The psychotherapist as a neglected variable in psychotherapy: An illustration by reference to the role of therapist experience and training								CLINICAL PSYCHOLOGY-SCIENCE AND PRACTICE				4	1			44	52		10.1111/j.1468-2850.1997.tb00098.x				SPR 1997	1997						26th Annual Meeting of the Society-for-Psychotherapy-Research26th Annual Meeting of the Society-for-Psychotherapy-Research	JUN, 1995JUN, 1995	Soc Psychotherapy ResSoc Psychotherapy Res	VANCOUVER, CANADAVANCOUVER, CANADA										0969-5893			WOS:A1997WJ27400005		
J	COMAN, GJ; EVANS, BJ; STANLEY, RO								SCORES ON THE INTERPERSONAL REACTIVITY INDEX - A SAMPLE OF AUSTRALIAN MEDICAL-STUDENTS								PSYCHOLOGICAL REPORTS				62	3			943	945		10.2466/pr0.1988.62.3.943				JUN 1988	1988																			0033-2941			WOS:A1988P112900047	3406312	
J	CONWAY, JB								DIFFERENCES AMONG CLINICAL PSYCHOLOGISTS - SCIENTISTS, PRACTITIONERS, AND SCIENTIST-PRACTITIONERS								PROFESSIONAL PSYCHOLOGY-RESEARCH AND PRACTICE				19	6			642	655		10.1037/0735-7028.19.6.642				DEC 1988	1988																			0735-7028			WOS:A1988R238300013		
J	DAVIS, MH								MEASURING INDIVIDUAL-DIFFERENCES IN EMPATHY - EVIDENCE FOR A MULTIDIMENSIONAL APPROACH								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				44	1			113	126		10.1037/0022-3514.44.1.113				1983	1983																			0022-3514			WOS:A1983PY32000010		
J	DAVIS, MH; FRANZOI, SL								STABILITY AND CHANGE IN ADOLESCENT SELF-CONSCIOUSNESS AND EMPATHY								JOURNAL OF RESEARCH IN PERSONALITY				25	1			70	87		10.1016/0092-6566(91)90006-C				MAR 1991	1991																			0092-6566			WOS:A1991EY04800005		
J	Duan, CM; Hill, CE				Hill, Clara/V-3216-2019				The current state of empathy research								JOURNAL OF COUNSELING PSYCHOLOGY				43	3			261	274		10.1037/0022-0167.43.3.261				JUL 1996	1996																			0022-0167			WOS:A1996UY34600005		
B	Franks, Cyril M.						Van Hasselt, V. B.; Hersen, M.		Behavioral model								Advanced abnormal psychology								93	110						1994	1994																					0-306-44547-6	BCI:BCI199497293565		
J	Garfield, SL								The therapist as a neglected variable in psychotherapy research								CLINICAL PSYCHOLOGY-SCIENCE AND PRACTICE				4	1			40	43		10.1111/j.1468-2850.1997.tb00097.x				SPR 1997	1997						26th Annual Meeting of the Society-for-Psychotherapy-Research26th Annual Meeting of the Society-for-Psychotherapy-Research	JUN, 1995JUN, 1995	Soc Psychotherapy ResSoc Psychotherapy Res	VANCOUVER, CANADAVANCOUVER, CANADA										0969-5893			WOS:A1997WJ27400004		
J	GROSS, PR								A PILOT-STUDY OF THE CONTRIBUTION OF EMPATHY TO BURNOUT IN SALVATION ARMY OFFICERS								WORK AND STRESS				8	1			68	74		10.1080/02678379408259977				JAN-MAR 1994	1994																			0267-8373			WOS:A1994NQ09100007		
J	HOGAN, R								DEVELOPMENT OF AN EMPATHY SCALE								JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY				33	3			307	&		10.1037/h0027580				1969	1969																			0022-006X			WOS:A1969D534900013	4389335	
