PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	BARON, RM; KENNY, DA				Holman, B.J./E-8868-2010				THE MODERATOR MEDIATOR VARIABLE DISTINCTION IN SOCIAL PSYCHOLOGICAL-RESEARCH - CONCEPTUAL, STRATEGIC, AND STATISTICAL CONSIDERATIONS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				51	6			1173	1182		10.1037/0022-3514.51.6.1173				DEC 1986	1986																			0022-3514			WOS:A1986F285400010	3806354	
J	Clary, EG; Snyder, M; Ridge, RD; Copeland, J; Stukas, AA; Haugen, J; Miene, P					Stukas, Arthur/0000-0003-1006-0851			Understanding and assessing the motivations of volunteers: A functional approach								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				74	6			1516	1530		10.1037/0022-3514.74.6.1516				JUN 1998	1998																			0022-3514	1939-1315		WOS:000074328700008	9654757	
J	CLARY, EG; ORENSTEIN, L								THE AMOUNT AND EFFECTIVENESS OF HELP - THE RELATIONSHIP OF MOTIVES AND ABILITIES TO HELPING-BEHAVIOR								PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN				17	1			58	64		10.1177/0146167291171009				FEB 1991	1991																			0146-1672			WOS:A1991EW20200008		
J	Davis, MH; Mitchell, KV; Hall, JA; Lothert, J; Snapp, T; Meyer, N								Empathy, expectations, and situational preferences: Personality influences on the decision to participate in volunteer helping behaviors								JOURNAL OF PERSONALITY				67	3			469	503		10.1111/1467-6494.00062				JUN 1999	1999																			0022-3506			WOS:000080484700004	10483118	
J	DAVIS, MH								MEASURING INDIVIDUAL-DIFFERENCES IN EMPATHY - EVIDENCE FOR A MULTIDIMENSIONAL APPROACH								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				44	1			113	126		10.1037/0022-3514.44.1.113				1983	1983																			0022-3514			WOS:A1983PY32000010		
J	Grube, JA; Piliavin, JA								Role identity, organizational experiences, and volunteer performance								PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN				26	9			1108	1119		10.1177/01461672002611007				SEP 2000	2000																			0146-1672			WOS:000167787600007		
J	JUDD, CM; KENNY, DA				Judd, Charles M/B-3833-2014				PROCESS ANALYSIS - ESTIMATING MEDIATION IN TREATMENT EVALUATIONS								EVALUATION REVIEW				5	5			602	619		10.1177/0193841X8100500502				1981	1981																			0193-841X			WOS:A1981MP00700002		
J	OMOTO, AM; SNYDER, M								SUSTAINED HELPING WITHOUT OBLIGATION - MOTIVATION, LONGEVITY OF SERVICE, AND PERCEIVED ATTITUDE-CHANGE AMONG AIDS VOLUNTEERS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				68	4			671	686		10.1037/0022-3514.68.4.671				APR 1995	1995																			0022-3514			WOS:A1995QR25200013	7738770	
J	Penner, LA; Finkelstein, MA								Dispositional and structural determinants of volunteerism								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				74	2			525	537		10.1037/0022-3514.74.2.525				FEB 1998	1998																			0022-3514			WOS:000072070700018		
J	SMITH, KD								TRAIT SYMPATHY AND PERCEIVED CONTROL AS PREDICTORS OF ENTERING SYMPATHY-AROUSING SITUATIONS								PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN				18	2			207	216		10.1177/0146167292182012				APR 1992	1992																			0146-1672			WOS:A1992HM77200012		
