PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	ADERMAN, D; BERKOWITZ, L								OBSERVATIONAL SET, EMPATHY, AND HELPING								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				14	2			141	148		10.1037/h0028770				1970	1970																			0022-3514			WOS:A1970Y216200006		
J	CAMPBELL, DONALD T.								An error in some demonstrations of the superior social perceptive-ness of leaders								JOUR ABNORMAL AND SOCIAL PSYCHOL				51-31	(2)			694	695		10.1037/h0043801				1955 No. 2738.	1955																						BCI:BCI19583200022069	13286022	
J	Chapin, F. Stuart								PRELIMINARY STANDARDIZATION OF A SOCIAL INSIGHT SCALE								AMERICAN SOCIOLOGICAL REVIEW				7	2			214	228		10.2307/2085176				APR 1942	1942																			0003-1224			WOS:000204039000005		
J	CRONBACH, LJ								PROCESSES AFFECTING SCORES ON UNDERSTANDING OF OTHERS AND ASSUMED SIMILARITY								PSYCHOLOGICAL BULLETIN				52	3			177	193		10.1037/h0044919				1955	1955																			0033-2909			WOS:A1955WD14000001	14371889	
J	FENIGSTEIN, A; SCHEIER, MF; BUSS, AH								PUBLIC AND PRIVATE SELF-CONSCIOUSNESS - ASSESSMENT AND THEORY								JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY				43	4			522	527		10.1037/h0076760				1975	1975																			0022-006X			WOS:A1975AL37500013		
J	HASTORF, AH; BENDER, IE								A CAUTION RESPECTING THE MEASUREMENT OF EMPATHIC ABILITY								JOURNAL OF ABNORMAL AND SOCIAL PSYCHOLOGY				47	2			574	576		10.1037/h0063349				1952	1952																			0096-851X			WOS:A1952UW69000045	14938009	
J	NORMAN, WT								TOWARD AN ADEQUATE TAXONOMY OF PERSONALITY ATTRIBUTES - REPLICATED FACTOR STRUCTURE IN PEER NOMINATION PERSONALITY RATINGS								JOURNAL OF ABNORMAL PSYCHOLOGY				66	6			574	&		10.1037/h0040291				1963	1963																			0021-843X			WOS:A1963P394700014	13938947	
J	PRYOR, JB; GIBBONS, FX; WICKLUND, RA; FAZIO, RH; HOOD, R				Fazio, Russell H/A-3109-2008	Fazio, Russell/0000-0002-0754-8234			SELF-FOCUSED ATTENTION AND SELF-REPORT VALIDITY								JOURNAL OF PERSONALITY				45	4			513	527		10.1111/j.1467-6494.1977.tb00168.x				1977	1977																			0022-3506			WOS:A1977EG37100005	592083	
J	REGAN, DT; TOTTEN, J								EMPATHY AND ATTRIBUTION - TURNING OBSERVERS INTO ACTORS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				32	5			850	856		10.1037/0022-3514.32.5.850				1975	1975																			0022-3514			WOS:A1975AW34500010	1185516	
J	SCHEIER, MF; BUSS, AH; BUSS, DM								SELF-CONSCIOUSNESS, SELF-REPORT OF AGGRESSIVENESS, AND AGGRESSION								JOURNAL OF RESEARCH IN PERSONALITY				12	2			133	140		10.1016/0092-6566(78)90089-2				1978	1978																			0092-6566			WOS:A1978FD65400001		
J	SECHREST, L; JACKSON, D N								Social intelligence and accuracy of interpersonal predictions.								Journal of personality				29				167	82		10.1111/j.1467-6494.1961.tb01653.x				1961-Jun	1961																			0022-3506			MEDLINE:13749550	13749550	
J	TAFT, R								THE ABILITY TO JUDGE PEOPLE								PSYCHOLOGICAL BULLETIN				52	1			1	23		10.1037/h0044999				1955	1955																			0033-2909			WOS:A1955WD13800001	13237381	
J	TURNER, RG; PETERSON, M								PUBLIC AND PRIVATE SELF-CONSCIOUSNESS AND EMOTIONAL EXPRESSIVITY								JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY				45	3			490	491		10.1037/0022-006X.45.3.490				1977	1977																			0022-006X			WOS:A1977DG79300024	864066	
J	TURNER, RG								CONSISTENCY, SELF-CONSCIOUSNESS, AND PREDICTIVE-VALIDITY OF TYPICAL AND MAXIMAL PERSONALITY MEASURES								JOURNAL OF RESEARCH IN PERSONALITY				12	1			117	132		10.1016/0092-6566(78)90088-0				1978	1978																			0092-6566			WOS:A1978ES62700011		
