PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Amason, AC								Distinguishing the effects of functional and dysfunctional conflict on strategic decision making: Resolving a paradox for top management teams								ACADEMY OF MANAGEMENT JOURNAL				39	1			123	148		10.2307/256633				FEB 1996	1996																			0001-4273			WOS:A1996TV92200005		
J	AMASON, AC; SCHWEIGER, DM								RESOLVING THE PARADOX OF CONFLICT, STRATEGIC DECISION-MAKING, AND ORGANIZATIONAL PERFORMANCE								INTERNATIONAL JOURNAL OF CONFLICT MANAGEMENT				5	3			239	253		10.1108/eb022745				JUL 1994	1994																			1044-4068			WOS:A1994PL11800003		
J	BENTLER, PM				Winwood, Peter/A-6363-2008				COMPARATIVE FIT INDEXES IN STRUCTURAL MODELS								PSYCHOLOGICAL BULLETIN				107	2			238	246		10.1037/0033-2909.88.3.588				MAR 1990	1990																			0033-2909	1939-1455		WOS:A1990CR56500008	2320703	
J	Berry, DS; Willingham, JK								Affective traits, responses to conflict, and satisfaction in romantic relationships								JOURNAL OF RESEARCH IN PERSONALITY				31	4			564	576		10.1006/jrpe.1997.2198				DEC 1997	1997																			0092-6566			WOS:A1997YK83200006		
J	BLAKE, RR; MOUTON, JS								FIFTH ACHIEVEMENT								JOURNAL OF APPLIED BEHAVIORAL SCIENCE				6	4			413	&		10.1177/002188637000600403				1970	1970																			0021-8863			WOS:A1970I033700003		
J	COHEN, J				Van Mulken, Margot/J-3567-2012; Kennedy, Kristen M/B-4699-2008; Rathbun, Paige/AAZ-3396-2020	Kennedy, Kristen M/0000-0001-5373-9026; 			A POWER PRIMER								PSYCHOLOGICAL BULLETIN				112	1			155	159		10.1037/0033-2909.112.1.155				JUL 1992	1992																			0033-2909			WOS:A1992JB40500008	19565683	
J	COLE, DA								UTILITY OF CONFIRMATORY FACTOR-ANALYSIS IN TEST VALIDATION RESEARCH								JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY				55	4			584	594		10.1037/0022-006X.55.4.584				AUG 1987	1987																			0022-006X	1939-2117		WOS:A1987J576000017	3624616	
J	COOMBS, CH								THE STRUCTURE OF CONFLICT								AMERICAN PSYCHOLOGIST				42	4			355	363		10.1037/0003-066X.42.4.355				APR 1987	1987																			0003-066X			WOS:A1987H184200021		
J	FINCHAM, FD; OSBORNE, LN				Fincham, Frank/A-2357-2008	Fincham, Frank/0000-0001-5081-2283			MARITAL CONFLICT AND CHILDREN - RETROSPECT AND PROSPECT								CLINICAL PSYCHOLOGY REVIEW				13	1			75	88		10.1016/0272-7358(93)90009-B				1993	1993																			0272-7358			WOS:A1993KG88100007		
J	FISHBEIN, M; AJZEN, I								ATTITUDES TOWARDS OBJECTS AS PREDICTORS OF SINGLE AND MULTIPLE BEHAVIORAL CRITERIA								PSYCHOLOGICAL REVIEW				81	1			59	74		10.1037/h0035872				1974	1974																			0033-295X			WOS:A1974S884500004		
J	GOTTMAN, JM; LEVENSON, RW								MARITAL PROCESSES PREDICTIVE OF LATER DISSOLUTION - BEHAVIOR, PHYSIOLOGY, AND HEALTH								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				63	2			221	233		10.1037/0022-3514.63.2.221				AUG 1992	1992																			0022-3514			WOS:A1992JH48100004	1403613	
J	MARSH, HW; BALLA, JR; MCDONALD, RP				Marsh, Herbert W/B-3134-2017	Marsh, Herbert W/0000-0002-1078-9717			GOODNESS-OF-FIT INDEXES IN CONFIRMATORY FACTOR-ANALYSIS - THE EFFECT OF SAMPLE-SIZE								PSYCHOLOGICAL BULLETIN				103	3			391	410		10.1037/0033-2909.103.3.391				MAY 1988	1988																			0033-2909	1939-1455		WOS:A1988N286100010		
J	Munduate, L; Ganaza, J; Peiro, JM; Euwema, M				PEIRO, JOSE M./B-3388-2011; Munduate, Lourdes/F-8379-2010	PEIRO, JOSE M./0000-0001-5293-0355; Munduate, Lourdes/0000-0002-0925-6999; Ganaza Vargas, Juan D./0000-0002-1173-6289; Euwema, Martin/0000-0003-0981-4855			Patterns of styles in conflict management and effectiveness								INTERNATIONAL JOURNAL OF CONFLICT MANAGEMENT				10	1			5	24		10.1108/eb022816				JAN 1999	1999																			1044-4068			WOS:000081428600001		
J	RUSBULT, CE; VERETTE, J; WHITNEY, GA; SLOVIK, LF; LIPKUS, I								ACCOMMODATION PROCESSES IN CLOSE RELATIONSHIPS - THEORY AND PRELIMINARY EMPIRICAL-EVIDENCE								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				60	1			53	78		10.1037/0022-3514.60.1.53				JAN 1991	1991																			0022-3514			WOS:A1991ET55700005		
J	VANDEVLIERT, E; HUISMANS, SE; EUWEMA, MC					Euwema, Martin/0000-0003-0981-4855; Van de Vliert, Evert/0000-0003-3322-7829			MANAGING-CONFLICT WITH A SUBORDINATE OR A SUPERIOR - EFFECTIVENESS OF CONGLOMERATED BEHAVIOR								JOURNAL OF APPLIED PSYCHOLOGY				80	2			271	281		10.1037/0021-9010.80.2.271				APR 1995	1995																			0021-9010			WOS:A1995QT56000005		
