PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Cheng, Y.; Chou, K. -H.; Decety, J.; Chen, I. -Y.; Hung, D.; Tzeng, O. J. -L.; Lin, C. -P.								SEX DIFFERENCES IN THE NEUROANATOMY OF HUMAN MIRROR-NEURON SYSTEM: A VOXEL-BASED MORPHOMETRIC INVESTIGATION								NEUROSCIENCE				158	2			713	720		10.1016/j.neuroscience.2008.10.026				JAN 23 2009	2009																			0306-4522	1873-7544		WOS:000262959900035	19010397	
J	COSTA, PT; MCCRAE, RR				Costa, Paul/AAH-6594-2019	Costa, Paul/0000-0003-4375-1712			DOMAINS AND FACETS - HIERARCHICAL PERSONALITY-ASSESSMENT USING THE REVISED NEO PERSONALITY-INVENTORY								JOURNAL OF PERSONALITY ASSESSMENT				64	1			21	50		10.1207/s15327752jpa6401_2				FEB 1995	1995						Convention of the American-Psychological-SocietyConvention of the American-Psychological-Society	JUN, 1992JUN, 1992	AMER PSYCHOL SOCAMER PSYCHOL SOC	SAN DIEGO, CASAN DIEGO, CA										0022-3891			WOS:A1995QE82600002	16367732	
J	DAVIS, MH; OATHOUT, HA								MAINTENANCE OF SATISFACTION IN ROMANTIC RELATIONSHIPS - EMPATHY AND RELATIONAL COMPETENCE								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				53	2			397	410		10.1037/0022-3514.53.2.397				AUG 1987	1987																			0022-3514			WOS:A1987J614200020		
J	DAVIS, MH								MEASURING INDIVIDUAL-DIFFERENCES IN EMPATHY - EVIDENCE FOR A MULTIDIMENSIONAL APPROACH								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				44	1			113	126		10.1037/0022-3514.44.1.113				1983	1983																			0022-3514			WOS:A1983PY32000010		
J	del Barrio, V; Aluja, A; Garcia, LF				Garcia, Luis/A-2330-2008; Aluja, Anton/A-7588-2008; del Barrio, Victoria/A-5911-2009	Garcia, Luis/0000-0001-6330-0535; Aluja, Anton/0000-0002-7865-0287; del Barrio, Victoria/0000-0003-1629-9011			Relationship between empathy and the Big Five personality traits in a sample of Spanish adolescents								SOCIAL BEHAVIOR AND PERSONALITY				32	7			677	681						2004	2004																			0301-2212	1179-6391		WOS:000224653500008		
J	DeYoung, Colin G.; Hirsh, Jacob B.; Shane, Matthew S.; Papademetris, Xenophon; Rajeevan, Nallakkandi; Gray, Jeremy R.				Gray, Jeremy/A-2635-2013	Hirsh, Jacob/0000-0002-3595-8417			Testing Predictions From Personality Neuroscience: Brain Structure and the Big Five								PSYCHOLOGICAL SCIENCE				21	6			820	828		10.1177/0956797610370159				JUN 2010	2010																			0956-7976	1467-9280		WOS:000279006100013	20435951	
J	Diener, E; Oishi, S; Lucas, RE				Lucas, Richard E/C-5206-2008; Lucas, Richard/L-9834-2013	Lucas, Richard E/0000-0002-7995-3319; Oishi, Shigehiro/0000-0002-4185-960X			Personality, culture, and subjective well-being: Emotional and cognitive evaluations of life								ANNUAL REVIEW OF PSYCHOLOGY				54				403	425		10.1146/annurev.psych.54.101601.145056				2003	2003																			0066-4308	1545-2085		WOS:000181435000017	12172000	
J	Epley, N; Keysar, B; Van Boven, L; Gilovich, T				VAN BOVEN, LEAF/AAA-3319-2019	VAN BOVEN, LEAF/0000-0003-4187-8779			Perspective taking as egocentric anchoring and adjustment								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				87	3			327	339		10.1037/0022-3514.87.3.327				SEP 2004	2004																			0022-3514			WOS:000223704400003	15382983	
J	Funder, DC				Funder, David/V-8125-2019				Personality								ANNUAL REVIEW OF PSYCHOLOGY				52				197	221		10.1146/annurev.psych.52.1.197				2001	2001																			0066-4308	1545-2085		WOS:000167463100010	11148304	
J	FUNDER, DC				Funder, David/V-8125-2019				GLOBAL TRAITS - A NEO-ALLPORTIAN APPROACH TO PERSONALITY								PSYCHOLOGICAL SCIENCE				2	1			31	39		10.1111/j.1467-9280.1991.tb00093.x				JAN 1991	1991																			0956-7976	1467-9280		WOS:A1991EW99700009		
