PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	ARON, A; ARON, EN; TUDOR, M; NELSON, G								CLOSE RELATIONSHIPS AS INCLUDING OTHER IN THE SELF								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				60	2			241	253		10.1037/0022-3514.60.2.241				FEB 1991	1991																			0022-3514	1939-1315		WOS:A1991EY27600006		
J	BATSON, CD								PRO-SOCIAL MOTIVATION - IS IT EVER TRULY ALTRUISTIC								ADVANCES IN EXPERIMENTAL SOCIAL PSYCHOLOGY				20				65	122		10.1016/S0065-2601(08)60412-8				1987	1987																			0065-2601			WOS:A1987M258100002		
J	BATSON, CD; FULTZ, J; SCHOENRADE, PA								DISTRESS AND EMPATHY - 2 QUALITATIVELY DISTINCT VICARIOUS EMOTIONS WITH DIFFERENT MOTIVATIONAL CONSEQUENCES								JOURNAL OF PERSONALITY				55	1			19	39		10.1111/j.1467-6494.1987.tb00426.x				MAR 1987	1987																			0022-3506			WOS:A1987G795200002	3572705	
J	Batson, CD; Sager, K; Garst, E; Kang, M; Rubchinsky, K; Dawson, K								Is empathy-induced helping due to self-other merging?								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				73	3			495	509		10.1037/0022-3514.73.3.495				SEP 1997	1997																			0022-3514			WOS:A1997XU35200006		
J	BATSON, CD; BATSON, JG; GRIFFITT, CA; BARRIENTOS, S; BRANDT, JR; SPRENGELMEYER, P; BAYLY, MJ								NEGATIVE-STATE RELIEF AND THE EMPATHY ALTRUISM HYPOTHESIS								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				56	6			922	933		10.1037/0022-3514.56.6.922				JUN 1989	1989																			0022-3514	1939-1315		WOS:A1989U794800007		
J	BATSON, CD; OQUIN, K; FULTZ, J; VANDERPLAS, M; ISEN, AM								INFLUENCE OF SELF-REPORTED DISTRESS AND EMPATHY ON EGOISTIC VERSUS ALTRUISTIC MOTIVATION TO HELP								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				45	3			706	718		10.1037//0022-3514.45.3.706				1983	1983																			0022-3514			WOS:A1983RE96200020		
J	BATSON, CD; DUNCAN, BD; ACKERMAN, P; BUCKLEY, T; BIRCH, K								IS EMPATHIC EMOTION A SOURCE OF ALTRUISTIC MOTIVATION								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				40	2			290	302		10.1037/0022-3514.40.2.290				1981	1981																			0022-3514			WOS:A1981LH62000007		
J	Berg, DR; Lonsway, KA; Fitzgerald, LF								Rape prevention education for men: The effectiveness of empathy-induction techniques								JOURNAL OF COLLEGE STUDENT DEVELOPMENT				40	3			219	234						MAY-JUN 1999	1999																			0897-5264	1543-3382		WOS:000080361400002		
J	CHANDLER, MJ								EGOCENTRISM AND ANTISOCIAL BEHAVIOR - ASSESSMENT AND TRAINING OF SOCIAL PERSPECTIVE-TAKING SKILLS								DEVELOPMENTAL PSYCHOLOGY				9	3			326	332		10.1037/h0034974				1973	1973																			0012-1649			WOS:A1973R383200005		
J	CHANDLER, MJ; GREENSPA.S								ERSATZ EGOCENTRISM - A REPLY TO BORKE,H								DEVELOPMENTAL PSYCHOLOGY				7	2			104	106		10.1037/h0033145				1972	1972																			0012-1649			WOS:A1972N508800003		
J	Chapin, F. Stuart								PRELIMINARY STANDARDIZATION OF A SOCIAL INSIGHT SCALE								AMERICAN SOCIOLOGICAL REVIEW				7	2			214	228		10.2307/2085176				APR 1942	1942																			0003-1224			WOS:000204039000005		
J	Cialdini, RB; Brown, SL; Lewis, BP; Luce, C; Neuberg, SL								Reinterpreting the empathy-altruism relationship: When one into one equals oneness								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				73	3			481	494		10.1037/0022-3514.73.3.481				SEP 1997	1997																			0022-3514	1939-1315		WOS:A1997XU35200005	9294898	
J	CIALDINI, RB; SCHALLER, M; HOULIHAN, D; ARPS, K; FULTZ, J; BEAMAN, AL								EMPATHY-BASED HELPING - IS IT SELFLESSLY OR SELFISHLY MOTIVATED								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				52	4			749	758		10.1037/0022-3514.52.4.749				APR 1987	1987																			0022-3514			WOS:A1987G679900010	3572736	
J	CRONBACH, LJ								PROCESSES AFFECTING SCORES ON UNDERSTANDING OF OTHERS AND ASSUMED SIMILARITY								PSYCHOLOGICAL BULLETIN				52	3			177	193		10.1037/h0044919				1955	1955																			0033-2909			WOS:A1955WD14000001	14371889	
J	Davis, MH; Conklin, L; Smith, A; Luce, C								Effect of perspective taking on the cognitive representation of persons: A merging of self and other								JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY				70	4			713	726		10.1037/0022-3514.70.4.713				APR 1996	1996																			0022-3514			WOS:A1996UE80100005	8636894	
